time,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6
01/04/2013 01:05:00,   54.66,   59.59,   43.60,   56.44,   60.81,   46.85
01/04/2013 01:10:00,   52.60,   58.03,   43.37,   55.42,   59.91,   47.91
01/04/2013 01:15:00,   53.25,   58.36,   43.52,   57.66,   62.55,   49.24
01/04/2013 01:20:00,   54.51,   59.61,   45.01,   59.63,   64.42,   49.16
01/04/2013 01:25:00,   54.37,   58.58,   45.81,   57.65,   61.65,   49.47
01/04/2013 01:30:00,   54.60,   60.10,   44.41,   57.14,   61.90,   48.52
01/04/2013 01:35:00,   54.39,   59.44,   45.65,   60.46,   65.69,   49.28
01/04/2013 01:40:00,   55.52,   60.16,   46.01,   57.80,   61.79,   50.00
01/04/2013 01:45:00,   53.03,   59.63,   42.12,   55.56,   61.14,   45.44
01/04/2013 01:50:00,   54.27,   59.11,   43.76,   56.37,   60.70,   47.68
01/04/2013 01:55:00,   52.99,   58.73,   43.81,   56.75,   62.15,   47.81
01/04/2013 02:00:00,   54.41,   60.02,   45.40,   58.08,   62.51,   50.44
01/04/2013 02:05:00,   52.93,   57.63,   44.76,   57.02,   61.36,   49.23
01/04/2013 02:10:00,   53.97,   60.01,   45.05,   57.25,   62.38,   49.42
01/04/2013 02:15:00,   53.98,   59.82,   42.88,   58.01,   62.99,   48.73
01/04/2013 02:20:00,   54.94,   59.56,   45.35,   59.77,   63.79,   51.66
01/04/2013 02:25:00,   52.52,   58.29,   42.63,   55.91,   61.55,   46.34
01/04/2013 02:30:00,   53.47,   59.33,   43.25,   57.43,   62.47,   47.99
01/04/2013 02:35:00,   52.93,   58.66,   44.35,   56.75,   61.17,   47.78
01/04/2013 02:40:00,   53.87,   59.03,   44.89,   56.64,   61.05,   49.23
01/04/2013 02:45:00,   53.06,   58.11,   43.64,   57.88,   63.44,   47.11
01/04/2013 02:50:00,   52.58,   58.69,   40.83,   55.47,   60.68,   45.97
01/04/2013 02:55:00,   50.84,   57.15,   41.46,   54.51,   60.69,   45.26
01/04/2013 03:00:00,   50.78,   57.29,   40.17,   53.65,   59.58,   44.36
01/04/2013 03:05:00,   49.79,   57.10,   39.82,   53.35,   59.23,   45.04
01/04/2013 03:10:00,   51.05,   56.48,   40.73,   54.49,   58.93,   47.28
01/04/2013 03:15:00,   50.11,   56.71,   42.10,   53.69,   58.42,   47.44
01/04/2013 03:20:00,   50.27,   57.81,   40.44,   52.90,   59.66,   44.70
01/04/2013 03:25:00,   49.32,   55.54,   42.25,   52.94,   58.14,   46.30
01/04/2013 03:30:00,   51.74,   57.65,   42.07,   54.00,   59.20,   46.04
01/04/2013 03:35:00,   52.42,   58.64,   42.22,   55.08,   60.60,   46.24
01/04/2013 03:40:00,   50.58,   57.36,   40.96,   53.57,   59.44,   45.00
01/04/2013 03:45:00,   52.01,   56.90,   43.07,   54.53,   59.37,   46.38
01/04/2013 03:50:00,   51.69,   58.20,   41.66,   54.89,   60.37,   45.27
01/04/2013 03:55:00,   51.52,   57.63,   41.04,   54.66,   59.57,   44.96
01/04/2013 04:00:00,   49.75,   57.05,   40.63,   54.28,   61.32,   45.07
01/04/2013 04:05:00,   50.96,   57.50,   41.39,   53.88,   59.83,   45.97
01/04/2013 04:10:00,   51.01,   57.71,   42.87,   55.08,   61.15,   47.44
01/04/2013 04:15:00,   50.19,   56.45,   41.86,   52.84,   58.21,   45.90
01/04/2013 04:20:00,   48.35,   54.57,   40.05,   52.41,   57.07,   44.85
01/04/2013 04:25:00,   49.87,   56.44,   41.46,   54.53,   60.01,   46.13
01/04/2013 04:30:00,   49.98,   55.95,   40.52,   56.97,   63.67,   45.84
01/04/2013 04:35:00,   47.59,   54.51,   38.97,   52.04,   57.46,   43.69
01/04/2013 04:40:00,   50.30,   56.01,   41.91,   54.26,   59.23,   46.20
01/04/2013 04:45:00,   51.99,   58.12,   43.46,   57.59,   62.53,   48.15
01/04/2013 04:50:00,   50.34,   55.87,   40.97,   55.70,   61.87,   45.00
01/04/2013 04:55:00,   45.41,   51.78,   38.35,   51.14,   57.34,   42.56
01/04/2013 05:00:00,   49.68,   57.03,   39.67,   52.80,   58.60,   44.41
01/04/2013 05:05:00,   47.49,   54.58,   38.03,   52.85,   59.91,   42.57
