# noise_analysis run from DCC-NOISE-001003 at Tue Apr  2 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
02/04/2013 00:05:00,   53.29,   57.66,   42.63,   56.36,   60.64,   47.23
02/04/2013 00:10:00,   52.34,   58.19,   43.81,   54.88,   59.59,   47.43
02/04/2013 00:15:00,   51.72,   57.19,   43.32,   54.69,   59.49,   47.19
02/04/2013 00:20:00,   52.17,   57.49,   42.80,   55.38,   59.50,   46.24
02/04/2013 00:25:00,   49.57,   55.46,   41.80,   52.54,   57.37,   45.53
02/04/2013 00:30:00,   52.02,   57.76,   42.77,   54.86,   59.72,   47.11
02/04/2013 00:35:00,   52.04,   58.65,   42.74,   55.51,   61.27,   47.02
02/04/2013 00:40:00,   51.21,   57.32,   43.68,   54.65,   60.18,   47.82
02/04/2013 00:45:00,   50.49,   56.13,   42.34,   54.15,   59.39,   47.35
02/04/2013 00:50:00,   52.20,   57.78,   42.16,   55.37,   60.31,   46.08
02/04/2013 00:55:00,   50.46,   56.88,   40.25,   53.57,   58.67,   44.25
02/04/2013 01:00:00,   50.52,   58.25,   41.00,   53.46,   60.06,   44.87
02/04/2013 01:05:00,   50.77,   57.16,   41.48,   53.68,   59.88,   44.63
02/04/2013 01:10:00,   51.29,   58.23,   41.92,   55.86,   62.87,   45.38
02/04/2013 01:15:00,   51.54,   57.31,   40.94,   53.87,   59.18,   45.11
02/04/2013 01:20:00,   50.82,   57.57,   41.91,   54.61,   60.13,   46.75
02/04/2013 01:25:00,   48.57,   55.34,   40.57,   51.93,   57.83,   44.03
02/04/2013 01:30:00,   49.00,   56.54,   39.17,   51.93,   58.34,   43.35
02/04/2013 01:35:00,   49.93,   58.39,   38.19,   52.33,   59.38,   43.45
02/04/2013 01:40:00,   49.63,   56.80,   39.37,   51.95,   57.88,   43.36
02/04/2013 01:45:00,   46.22,   53.85,   38.12,   49.11,   56.10,   41.94
02/04/2013 01:50:00,   47.87,   54.79,   37.85,   50.91,   57.44,   41.56
02/04/2013 01:55:00,   49.00,   57.54,   38.72,   51.66,   58.49,   42.90
02/04/2013 02:00:00,   46.14,   54.38,   37.31,   49.25,   56.87,   41.02
02/04/2013 02:05:00,   47.30,   53.77,   38.01,   50.85,   56.37,   41.78
02/04/2013 02:10:00,   46.29,   54.10,   35.81,   49.66,   56.90,   40.60
02/04/2013 02:15:00,   47.42,   55.65,   35.98,   50.02,   56.90,   40.55
02/04/2013 02:20:00,   44.46,   51.04,   37.18,   47.25,   53.43,   40.95
02/04/2013 02:25:00,   41.46,   47.75,   33.86,   44.54,   51.59,   38.19
02/04/2013 02:30:00,   39.02,   41.25,   33.14,   42.40,   44.83,   37.29
02/04/2013 02:35:00,   42.52,   47.39,   34.55,   46.82,   51.44,   38.72
02/04/2013 02:40:00,   43.44,   49.24,   33.39,   46.04,   51.41,   37.81
02/04/2013 02:45:00,   45.36,   53.31,   34.65,   48.31,   55.19,   38.71
02/04/2013 02:50:00,   44.64,   52.73,   34.01,   46.26,   52.85,   38.29
02/04/2013 02:55:00,   48.11,   56.42,   35.59,   49.87,   57.97,   39.56
02/04/2013 03:00:00,   46.09,   55.97,   34.89,   48.46,   57.26,   39.13
02/04/2013 03:05:00,   43.03,   50.16,   35.84,   47.55,   53.09,   42.22
02/04/2013 03:10:00,   45.33,   52.66,   36.53,   48.34,   55.58,   42.62
02/04/2013 03:15:00,   45.98,   55.37,   36.41,   49.41,   57.37,   42.49
02/04/2013 03:20:00,   46.75,   54.53,   35.20,   49.35,   56.43,   39.73
02/04/2013 03:25:00,   45.11,   52.87,   35.08,   47.90,   54.85,   39.41
02/04/2013 03:30:00,   42.04,   48.91,   34.39,   44.93,   50.17,   39.48
02/04/2013 03:35:00,   45.63,   53.57,   35.43,   48.91,   56.71,   40.08
02/04/2013 03:40:00,   44.66,   51.70,   35.63,   47.93,   55.09,   40.01
02/04/2013 03:45:00,   47.71,   56.80,   36.13,   50.23,   58.51,   40.14
02/04/2013 03:50:00,   46.48,   53.84,   36.62,   49.30,   56.50,   41.01
02/04/2013 03:55:00,   46.00,   53.90,   36.83,   49.46,   56.79,   41.07
02/04/2013 04:00:00,   42.12,   48.02,   35.75,   46.55,   51.26,   40.42
02/04/2013 04:05:00,   42.63,   48.49,   35.88,   46.87,   52.68,   40.98
02/04/2013 04:10:00,   45.09,   51.67,   35.21,   47.26,   53.23,   39.84
02/04/2013 04:15:00,   44.33,   53.98,   36.39,   47.44,   55.49,   40.83
02/04/2013 04:20:00,   46.08,   53.56,   35.48,   48.90,   55.11,   40.47
02/04/2013 04:25:00,   43.40,   49.99,   35.56,   47.48,   52.86,   40.74
02/04/2013 04:30:00,   40.01,   41.76,   35.80,   44.18,   46.36,   40.81
02/04/2013 04:35:00,   40.14,   42.59,   35.91,   44.92,   47.81,   41.02
02/04/2013 04:40:00,   40.97,   45.31,   35.99,   44.51,   47.22,   40.56
02/04/2013 04:45:00,   45.64,   53.78,   37.53,   48.84,   56.23,   41.79
02/04/2013 04:50:00,   46.53,   53.54,   36.55,   49.38,   55.63,   41.77
02/04/2013 04:55:00,   45.31,   53.42,   36.29,   48.39,   54.65,   41.31
02/04/2013 05:00:00,   48.32,   56.33,   38.11,   50.35,   57.68,   41.75
02/04/2013 05:05:00,   44.19,   51.31,   36.54,   46.78,   52.74,   40.81
02/04/2013 05:10:00,   46.57,   55.30,   36.97,   49.29,   57.37,   41.29
02/04/2013 05:15:00,   48.34,   55.28,   37.30,   50.32,   57.01,   41.67
02/04/2013 05:20:00,   45.57,   52.41,   36.95,   49.72,   56.13,   41.59
02/04/2013 05:25:00,   49.66,   56.74,   38.28,   53.61,   60.24,   42.68
02/04/2013 05:30:00,   48.17,   55.85,   38.29,   51.04,   57.76,   43.16
02/04/2013 05:35:00,   48.57,   54.95,   39.20,   53.12,   58.19,   44.52
02/04/2013 05:40:00,   47.47,   55.31,   38.35,   50.40,   56.45,   43.72
02/04/2013 05:45:00,   49.99,   56.04,   40.90,   52.20,   57.17,   45.50
02/04/2013 05:50:00,   51.32,   58.62,   41.62,   53.37,   59.74,   45.11
02/04/2013 05:55:00,   48.81,   56.56,   40.46,   51.44,   58.13,   44.42
02/04/2013 06:00:00,   49.15,   55.96,   40.83,   52.58,   58.15,   45.79
02/04/2013 06:05:00,   51.53,   57.74,   41.92,   54.56,   60.63,   46.48
02/04/2013 06:10:00,   54.76,   60.74,   44.77,   57.68,   62.56,   48.88
02/04/2013 06:15:00,   52.97,   57.86,   43.49,   55.11,   59.53,   47.05
02/04/2013 06:20:00,   52.87,   57.06,   44.78,   55.36,   59.56,   48.17
02/04/2013 06:25:00,   52.79,   57.10,   45.35,   55.24,   60.18,   48.43
02/04/2013 06:30:00,   51.70,   56.91,   44.74,   54.33,   59.00,   49.02
02/04/2013 06:35:00,   54.18,   58.81,   46.04,   57.35,   62.11,   50.12
02/04/2013 06:40:00,   54.17,   59.46,   46.31,   58.58,   63.48,   50.63
02/04/2013 06:45:00,   54.21,   59.17,   45.91,   56.39,   61.55,   49.34
02/04/2013 06:50:00,   55.57,   60.58,   47.17,   58.16,   62.59,   50.20
02/04/2013 06:55:00,   55.78,   60.56,   48.00,   58.57,   62.65,   50.96
02/04/2013 07:00:00,   54.78,   60.28,   46.57,   57.75,   62.38,   49.97
02/04/2013 07:05:00,   55.54,   59.79,   47.23,   58.18,   62.84,   50.35
02/04/2013 07:10:00,   56.89,   60.25,   50.52,   59.09,   62.69,   52.51
02/04/2013 07:15:00,   56.61,   60.13,   50.59,   59.40,   62.28,   53.78
02/04/2013 07:20:00,   55.62,   60.09,   49.67,   58.74,   62.83,   52.94
02/04/2013 07:25:00,   56.28,   60.89,   49.08,   58.87,   63.41,   52.40
02/04/2013 07:30:00,   57.41,   60.25,   51.64,   61.27,   64.69,   54.82
02/04/2013 07:35:00,   61.47,   63.80,   53.61,   62.88,   65.51,   55.94
02/04/2013 07:40:00,   57.42,   61.00,   51.37,   60.26,   63.57,   55.00
02/04/2013 07:45:00,   57.23,   60.93,   51.80,   59.74,   63.11,   55.58
02/04/2013 07:50:00,   58.31,   61.08,   52.83,   62.14,   64.91,   56.52
02/04/2013 07:55:00,   56.99,   61.45,   49.90,   60.64,   64.09,   55.07
02/04/2013 08:00:00,   56.95,   61.62,   50.61,   61.81,   65.01,   55.76
02/04/2013 08:05:00,   57.41,   60.61,   51.95,   62.61,   65.87,   55.03
02/04/2013 08:10:00,   57.18,   61.53,   50.69,   60.94,   64.54,   54.29
02/04/2013 08:15:00,   57.29,   60.90,   52.33,   61.41,   64.50,   57.44
02/04/2013 08:20:00,   58.73,   62.01,   51.47,   63.09,   66.40,   56.48
02/04/2013 08:25:00,   56.34,   59.60,   51.09,   60.38,   63.65,   54.68
02/04/2013 08:30:00,   57.51,   60.89,   51.85,   61.07,   64.16,   56.12
02/04/2013 08:35:00,   57.55,   61.03,   51.28,   60.95,   63.81,   53.92
02/04/2013 08:40:00,   56.11,   60.18,   50.54,   59.97,   63.37,   54.46
02/04/2013 08:45:00,   59.28,   62.44,   52.28,   62.86,   67.07,   56.57
02/04/2013 08:50:00,   58.36,   61.73,   52.39,   61.52,   63.95,   56.86
02/04/2013 08:55:00,   57.05,   60.39,   51.45,   59.89,   62.78,   55.13
02/04/2013 09:00:00,   57.36,   61.34,   52.08,   61.04,   64.33,   56.85
02/04/2013 09:05:00,   57.89,   61.30,   52.39,   60.53,   63.61,   56.09
02/04/2013 09:10:00,   58.41,   61.81,   53.54,   62.70,   65.54,   58.03
02/04/2013 09:15:00,   60.84,   65.64,   55.57,   64.49,   68.10,   60.53
02/04/2013 09:20:00,   58.39,   61.18,   53.90,   61.85,   63.84,   58.51
02/04/2013 09:25:00,   57.11,   60.40,   51.42,   61.34,   64.38,   55.90
02/04/2013 09:30:00,   56.94,   60.21,   51.79,   60.15,   62.85,   55.96
02/04/2013 09:35:00,   58.63,   61.61,   54.01,   62.12,   65.66,   57.51
02/04/2013 09:40:00,   57.27,   60.47,   50.81,   61.08,   64.13,   55.51
02/04/2013 09:45:00,   56.53,   59.91,   51.55,   60.66,   63.60,   56.76
02/04/2013 09:50:00,   58.04,   61.20,   52.80,   63.09,   68.50,   57.84
02/04/2013 09:55:00,   57.97,   60.93,   51.86,   61.50,   64.48,   56.80
02/04/2013 10:00:00,   57.61,   60.26,   52.97,   62.04,   65.62,   57.30
02/04/2013 10:05:00,   56.45,   59.98,   50.56,   61.24,   63.85,   54.71
