# noise_analysis run from DCC-NOISE-001003 at Wed Apr  3 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/04/2013 00:05:00,   52.85,   57.82,   44.16,   55.98,   59.99,   47.65
03/04/2013 00:10:00,   50.91,   55.98,   41.58,   57.22,   64.45,   45.83
03/04/2013 00:15:00,   48.83,   54.63,   42.32,   51.95,   56.78,   45.66
03/04/2013 00:20:00,   50.97,   57.07,   41.49,   53.81,   59.03,   45.58
03/04/2013 00:25:00,   50.35,   57.31,   40.85,   52.65,   58.79,   44.42
03/04/2013 00:30:00,   51.25,   57.49,   40.45,   53.19,   58.76,   44.52
03/04/2013 00:35:00,   50.59,   57.32,   41.03,   52.79,   58.99,   44.03
03/04/2013 00:40:00,   49.04,   54.92,   40.21,   51.46,   57.00,   43.74
03/04/2013 00:45:00,   50.71,   56.51,   40.25,   53.05,   58.61,   43.98
03/04/2013 00:50:00,   49.55,   55.90,   39.37,   51.62,   57.43,   43.78
03/04/2013 00:55:00,   50.38,   55.94,   41.08,   52.56,   58.29,   43.86
03/04/2013 01:00:00,   49.94,   56.64,   40.14,   52.47,   59.50,   43.59
03/04/2013 01:05:00,   48.74,   56.25,   39.10,   50.95,   57.59,   42.93
03/04/2013 01:10:00,   47.69,   55.48,   38.16,   49.98,   57.62,   42.16
03/04/2013 01:15:00,   50.26,   57.17,   40.20,   52.15,   58.51,   43.04
03/04/2013 01:20:00,   46.16,   52.90,   38.75,   48.68,   54.13,   42.62
03/04/2013 01:25:00,   48.07,   56.30,   39.63,   50.24,   57.42,   42.95
03/04/2013 01:30:00,   49.62,   56.85,   39.78,   52.01,   58.15,   43.76
03/04/2013 01:35:00,   50.08,   56.60,   38.82,   51.65,   57.46,   42.05
03/04/2013 01:40:00,   46.86,   55.59,   36.60,   48.89,   56.56,   40.22
03/04/2013 01:45:00,   49.06,   56.92,   38.17,   50.91,   58.29,   41.53
03/04/2013 01:50:00,   49.55,   57.08,   38.53,   51.34,   58.34,   42.60
03/04/2013 01:55:00,   47.51,   55.67,   37.87,   50.13,   56.79,   41.68
03/04/2013 02:00:00,   43.49,   49.32,   36.83,   46.47,   51.58,   40.72
03/04/2013 02:05:00,   48.23,   55.76,   38.78,   50.42,   57.34,   42.32
03/04/2013 02:10:00,   43.03,   46.08,   36.86,   46.18,   50.01,   40.89
03/04/2013 02:15:00,   43.60,   47.11,   38.28,   46.32,   49.81,   41.69
03/04/2013 02:20:00,   47.33,   55.18,   37.16,   49.38,   56.55,   40.78
03/04/2013 02:25:00,   45.96,   53.46,   36.89,   48.67,   56.06,   40.27
03/04/2013 02:30:00,   45.85,   52.14,   36.61,   48.59,   54.37,   40.55
03/04/2013 02:35:00,   44.54,   50.22,   35.80,   46.60,   51.66,   39.67
03/04/2013 02:40:00,   42.73,   45.99,   36.22,   44.92,   47.86,   39.95
03/04/2013 02:45:00,   41.73,   44.07,   36.29,   44.83,   46.95,   40.15
03/04/2013 02:50:00,   44.27,   50.24,   37.22,   47.23,   52.54,   40.37
03/04/2013 02:55:00,   43.32,   47.71,   37.03,   46.51,   52.36,   40.24
03/04/2013 03:00:00,   45.79,   53.86,   35.58,   48.37,   54.94,   39.98
03/04/2013 03:05:00,   44.51,   51.63,   35.19,   47.63,   54.61,   41.64
03/04/2013 03:10:00,   46.10,   54.55,   35.60,   49.43,   57.20,   41.81
03/04/2013 03:15:00,   44.75,   50.11,   37.66,   47.89,   52.48,   42.41
03/04/2013 03:20:00,   47.06,   54.84,   37.71,   49.80,   57.53,   41.39
03/04/2013 03:25:00,   45.25,   51.29,   35.47,   50.26,   57.13,   40.07
03/04/2013 03:30:00,   52.54,   58.61,   37.05,   54.05,   59.63,   41.15
03/04/2013 03:35:00,   45.46,   50.75,   36.23,   48.10,   51.65,   40.23
03/04/2013 03:40:00,   46.35,   53.55,   37.97,   49.78,   55.67,   41.94
03/04/2013 03:45:00,   45.88,   52.39,   38.99,   48.89,   55.77,   42.49
03/04/2013 03:50:00,   47.57,   54.69,   36.79,   49.74,   56.75,   40.54
03/04/2013 03:55:00,   47.23,   53.70,   38.27,   49.28,   55.84,   41.58
03/04/2013 04:00:00,   50.51,   56.45,   40.50,   52.57,   58.57,   43.53
03/04/2013 04:05:00,   43.52,   46.29,   37.15,   46.01,   50.08,   40.71
03/04/2013 04:10:00,   46.63,   53.60,   38.44,   49.23,   56.43,   42.40
03/04/2013 04:15:00,   48.06,   54.62,   37.63,   50.29,   56.65,   41.50
03/04/2013 04:20:00,   44.01,   50.33,   37.60,   46.47,   51.04,   41.75
03/04/2013 04:25:00,   46.62,   52.27,   38.41,   48.74,   53.69,   42.18
03/04/2013 04:30:00,   46.18,   51.15,   39.34,   48.74,   53.48,   43.24
03/04/2013 04:35:00,   43.94,   47.52,   37.75,   47.48,   50.98,   42.22
03/04/2013 04:40:00,   41.87,   44.22,   38.67,   44.90,   46.65,   42.54
03/04/2013 04:45:00,   48.98,   57.12,   39.54,   52.44,   59.56,   43.51
03/04/2013 04:50:00,   44.83,   50.73,   37.91,   47.88,   53.74,   42.30
