# noise_analysis run from DCC-NOISE-001003 at Thu Apr  4 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/04/2013 00:05:00,   53.50,   58.47,   45.89,   54.93,   59.05,   48.45
04/04/2013 00:10:00,   52.45,   58.66,   44.95,   54.19,   59.72,   47.73
04/04/2013 00:15:00,   51.98,   57.47,   42.97,   53.88,   58.90,   46.19
04/04/2013 00:20:00,   52.92,   58.44,   45.51,   56.96,   60.95,   48.09
04/04/2013 00:25:00,   52.93,   58.21,   46.21,   55.33,   60.39,   48.52
04/04/2013 00:30:00,   51.98,   56.59,   45.37,   54.41,   58.38,   48.72
04/04/2013 00:35:00,   54.33,   58.66,   44.75,   57.00,   60.91,   47.24
04/04/2013 00:40:00,   52.95,   59.06,   43.89,   54.46,   60.07,   46.50
04/04/2013 00:45:00,   51.49,   56.90,   43.93,   54.16,   58.93,   46.64
04/04/2013 00:50:00,   52.66,   58.87,   43.64,   54.40,   60.32,   46.29
04/04/2013 00:55:00,   50.04,   56.26,   42.52,   52.32,   58.17,   45.87
04/04/2013 01:00:00,   52.47,   59.45,   43.99,   54.31,   60.39,   46.68
04/04/2013 01:05:00,   50.31,   56.43,   42.29,   52.25,   58.13,   45.13
04/04/2013 01:10:00,   52.32,   58.71,   42.67,   53.95,   59.76,   45.82
04/04/2013 01:15:00,   49.41,   55.09,   43.24,   52.36,   57.80,   46.70
04/04/2013 01:20:00,   50.82,   57.73,   40.90,   52.30,   58.02,   44.32
04/04/2013 01:25:00,   51.12,   58.63,   40.51,   52.77,   59.69,   44.01
04/04/2013 01:30:00,   50.90,   57.84,   40.10,   52.60,   58.96,   43.40
04/04/2013 01:35:00,   50.60,   58.40,   41.00,   52.00,   58.98,   43.98
