# noise_analysis run from DCC-NOISE-001003 at Fri Apr  5 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/04/2013 00:05:00,   52.50,   57.40,   45.74,   55.05,   58.71,   48.96
05/04/2013 00:10:00,   53.83,   58.16,   46.41,   55.93,   60.19,   49.29
05/04/2013 00:15:00,   52.81,   57.59,   46.71,   55.34,   59.96,   49.89
05/04/2013 00:20:00,   53.30,   58.10,   46.34,   55.39,   59.48,   49.48
05/04/2013 00:25:00,   52.82,   57.25,   46.42,   54.97,   59.31,   49.02
05/04/2013 00:30:00,   52.91,   58.02,   45.06,   55.62,   60.24,   48.54
05/04/2013 00:35:00,   53.32,   58.25,   45.78,   55.81,   60.29,   49.35
05/04/2013 00:40:00,   54.05,   58.42,   46.55,   56.86,   60.88,   49.72
05/04/2013 00:45:00,   52.22,   56.79,   46.25,   54.82,   58.81,   49.25
05/04/2013 00:50:00,   52.30,   56.14,   46.60,   54.31,   57.70,   49.40
05/04/2013 00:55:00,   53.64,   59.30,   44.53,   55.47,   60.53,   47.42
05/04/2013 01:00:00,   52.98,   58.59,   44.52,   54.75,   60.01,   47.37
05/04/2013 01:05:00,   53.07,   59.29,   44.75,   54.82,   60.39,   47.48
05/04/2013 01:10:00,   53.80,   57.87,   42.69,   54.90,   58.48,   46.27
05/04/2013 01:15:00,   52.40,   57.70,   45.37,   54.50,   59.76,   48.27
05/04/2013 01:20:00,   53.27,   57.98,   46.43,   55.04,   59.22,   49.19
05/04/2013 01:25:00,   51.28,   55.81,   44.58,   53.71,   57.46,   47.67
05/04/2013 01:30:00,   50.71,   55.54,   43.42,   52.54,   57.39,   46.48
05/04/2013 01:35:00,   50.05,   55.47,   42.87,   51.84,   56.46,   46.20
05/04/2013 01:40:00,   48.09,   51.86,   43.26,   50.16,   53.52,   46.13
05/04/2013 01:45:00,   46.78,   50.32,   41.99,   48.93,   52.08,   44.97
05/04/2013 01:50:00,   49.68,   55.96,   43.11,   51.63,   57.17,   45.85
05/04/2013 01:55:00,   48.70,   54.58,   42.28,   50.84,   55.96,   45.56
05/04/2013 02:00:00,   50.11,   56.10,   41.31,   51.85,   57.30,   44.68
05/04/2013 02:05:00,   47.39,   51.62,   42.84,   49.49,   53.44,   45.35
05/04/2013 02:10:00,   50.71,   56.97,   42.25,   52.74,   58.49,   46.21
05/04/2013 02:15:00,   47.58,   53.26,   40.12,   49.77,   54.91,   43.73
05/04/2013 02:20:00,   47.80,   54.58,   40.73,   49.82,   55.94,   43.89
05/04/2013 02:25:00,   48.30,   54.71,   40.13,   50.36,   56.37,   43.29
05/04/2013 02:30:00,   45.20,   50.14,   40.34,   47.80,   51.32,   43.84
05/04/2013 02:35:00,   48.05,   53.34,   40.77,   50.14,   55.26,   44.21
05/04/2013 02:40:00,   48.31,   54.28,   40.68,   50.23,   55.67,   43.80
05/04/2013 02:45:00,   46.06,   50.77,   39.74,   48.44,   52.68,   43.18
05/04/2013 02:50:00,   48.34,   54.70,   41.09,   50.48,   56.62,   44.14
05/04/2013 02:55:00,   44.72,   48.92,   39.61,   47.50,   51.77,   43.03
05/04/2013 03:00:00,   43.87,   46.39,   38.20,   46.65,   48.71,   42.04
05/04/2013 03:05:00,   49.18,   56.91,   40.17,   51.43,   58.33,   44.58
05/04/2013 03:10:00,   47.25,   54.33,   40.24,   49.87,   55.79,   44.81
05/04/2013 03:15:00,   49.78,   57.32,   40.40,   51.79,   58.79,   44.57
05/04/2013 03:20:00,   46.68,   52.67,   39.52,   49.16,   54.66,   43.04
05/04/2013 03:25:00,   46.27,   52.39,   41.21,   48.94,   55.28,   44.46
05/04/2013 03:30:00,   50.50,   56.56,   42.87,   53.08,   59.26,   46.48
05/04/2013 03:35:00,   48.53,   55.44,   41.32,   50.93,   57.83,   44.42
05/04/2013 03:40:00,   51.28,   57.89,   42.66,   53.31,   59.56,   45.32
05/04/2013 03:45:00,   48.29,   52.86,   40.99,   50.66,   56.43,   43.95
05/04/2013 03:50:00,   49.05,   55.14,   42.33,   51.38,   57.08,   45.37
05/04/2013 03:55:00,   49.53,   56.20,   42.83,   52.05,   57.48,   46.15
05/04/2013 04:00:00,   50.64,   57.04,   41.53,   52.77,   59.36,   45.25
05/04/2013 04:05:00,   50.62,   56.36,   41.70,   53.03,   58.35,   45.43
05/04/2013 04:10:00,   49.35,   56.57,   42.04,   51.62,   58.15,   45.34
05/04/2013 04:15:00,   47.83,   53.77,   42.03,   50.12,   55.14,   45.08
05/04/2013 04:20:00,   48.22,   54.68,   41.13,   50.36,   56.82,   44.16
05/04/2013 04:25:00,   48.29,   54.20,   40.93,   50.81,   55.79,   44.92
05/04/2013 04:30:00,   46.98,   53.76,   41.25,   49.43,   55.94,   44.60
05/04/2013 04:35:00,   47.47,   51.80,   42.87,   50.27,   53.57,   46.64
05/04/2013 04:40:00,   49.51,   56.03,   42.44,   51.94,   57.90,   45.84
05/04/2013 04:45:00,   49.45,   54.87,   43.52,   52.95,   59.16,   46.75
05/04/2013 04:50:00,   49.71,   55.74,   42.92,   52.04,   57.56,   46.15
05/04/2013 04:55:00,   49.10,   54.12,   43.28,   52.11,   57.11,   47.05
05/04/2013 05:00:00,   50.13,   55.20,   43.83,   52.34,   56.69,   47.22
05/04/2013 05:05:00,   49.60,   55.54,   43.72,   51.61,   56.63,   46.78
