# noise_analysis run from DCC-NOISE-001003 at Sat Apr  6 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/04/2013 00:05:00,   55.58,   60.60,   47.51,   57.34,   61.95,   50.21
06/04/2013 00:10:00,   55.54,   60.17,   48.33,   58.89,   62.82,   52.29
06/04/2013 00:15:00,   54.73,   60.11,   45.26,   57.81,   62.27,   48.64
06/04/2013 00:20:00,   54.22,   59.49,   44.81,   56.63,   61.44,   48.29
06/04/2013 00:25:00,   53.92,   58.06,   46.96,   55.63,   59.33,   49.73
06/04/2013 00:30:00,   54.78,   59.84,   46.60,   57.05,   61.61,   49.75
06/04/2013 00:35:00,   53.86,   58.50,   45.46,   55.48,   59.66,   48.61
06/04/2013 00:40:00,   53.24,   57.77,   46.38,   55.32,   59.62,   49.24
06/04/2013 00:45:00,   52.43,   57.18,   44.78,   55.00,   59.41,   47.85
06/04/2013 00:50:00,   51.59,   56.41,   44.22,   53.68,   58.23,   47.51
06/04/2013 00:55:00,   52.59,   58.52,   45.43,   54.39,   59.38,   48.76
06/04/2013 01:00:00,   56.05,   59.99,   49.96,   57.59,   60.59,   52.45
06/04/2013 01:05:00,   53.52,   58.14,   46.36,   55.24,   59.40,   49.40
06/04/2013 01:10:00,   54.08,   59.12,   47.15,   55.80,   60.33,   50.03
06/04/2013 01:15:00,   55.51,   59.73,   48.97,   57.17,   60.95,   51.52
06/04/2013 01:20:00,   54.41,   58.76,   47.45,   56.25,   60.10,   51.13
06/04/2013 01:25:00,   52.33,   58.11,   45.46,   54.40,   59.16,   49.31
06/04/2013 01:30:00,   52.21,   57.58,   45.86,   55.12,   59.73,   49.44
06/04/2013 01:35:00,   53.45,   59.64,   44.77,   55.17,   60.45,   48.23
06/04/2013 01:40:00,   53.58,   57.89,   47.01,   55.87,   60.43,   50.54
06/04/2013 01:45:00,   54.31,   59.69,   46.80,   56.03,   60.94,   49.82
06/04/2013 01:50:00,   53.44,   58.38,   45.78,   55.59,   60.09,   49.18
06/04/2013 01:55:00,   53.49,   58.45,   45.68,   55.34,   60.15,   48.92
06/04/2013 02:00:00,   54.02,   58.54,   47.90,   56.01,   60.03,   50.68
06/04/2013 02:05:00,   53.08,   58.93,   44.28,   55.03,   59.74,   48.16
06/04/2013 02:10:00,   53.17,   58.24,   45.06,   55.33,   60.42,   48.55
06/04/2013 02:15:00,   54.28,   58.22,   47.72,   56.95,   61.21,   51.07
06/04/2013 02:20:00,   54.35,   58.85,   45.64,   56.23,   60.40,   49.17
06/04/2013 02:25:00,   53.80,   58.75,   45.63,   55.82,   60.63,   49.02
06/04/2013 02:30:00,   52.56,   56.79,   46.71,   55.30,   59.07,   50.27
06/04/2013 02:35:00,   54.93,   59.74,   47.84,   56.92,   61.15,   50.91
06/04/2013 02:40:00,   50.95,   56.50,   41.17,   53.28,   58.63,   46.16
06/04/2013 02:45:00,   51.26,   57.60,   42.84,   53.15,   58.59,   47.08
06/04/2013 02:50:00,   52.69,   58.21,   45.18,   54.76,   60.14,   48.43
06/04/2013 02:55:00,   50.74,   58.21,   42.21,   52.82,   59.27,   46.60
