# noise_analysis run from DCC-NOISE-001003 at Sun Apr  7 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/04/2013 00:05:00,   53.74,   58.90,   45.41,   57.57,   62.15,   48.51
07/04/2013 00:10:00,   53.51,   59.35,   43.84,   55.35,   60.56,   47.12
07/04/2013 00:15:00,   58.44,   63.69,   47.10,   62.12,   68.58,   49.74
07/04/2013 00:20:00,   54.90,   60.03,   47.03,   57.67,   62.62,   50.50
07/04/2013 00:25:00,   53.13,   58.58,   44.41,   55.24,   60.22,   48.00
07/04/2013 00:30:00,   52.70,   56.67,   45.90,   54.76,   58.25,   49.33
07/04/2013 00:35:00,   53.05,   58.07,   45.61,   54.99,   59.51,   48.46
07/04/2013 00:40:00,   54.45,   58.87,   47.63,   56.49,   60.49,   50.03
07/04/2013 00:45:00,   53.97,   58.58,   47.56,   55.84,   60.35,   50.06
07/04/2013 00:50:00,   54.50,   58.74,   48.97,   56.64,   60.24,   51.99
07/04/2013 00:55:00,   53.47,   58.67,   46.56,   55.33,   60.07,   49.12
07/04/2013 01:00:00,   54.27,   59.17,   46.89,   56.54,   61.15,   49.65
07/04/2013 01:05:00,   53.86,   58.59,   46.74,   55.96,   59.92,   49.42
07/04/2013 01:10:00,   54.06,   59.48,   44.65,   56.08,   61.08,   47.84
07/04/2013 01:15:00,   54.66,   60.94,   45.85,   56.36,   62.05,   48.86
07/04/2013 01:20:00,   52.06,   58.91,   43.68,   53.99,   60.10,   46.83
07/04/2013 01:25:00,   54.45,   59.54,   45.31,   56.48,   61.30,   48.06
07/04/2013 01:30:00,   53.29,   59.43,   43.23,   55.58,   61.35,   46.21
07/04/2013 01:35:00,   54.22,   59.73,   44.65,   56.95,   61.95,   47.96
07/04/2013 01:40:00,   54.15,   58.64,   46.61,   55.98,   59.99,   49.14
07/04/2013 01:45:00,   52.06,   58.27,   43.79,   54.20,   59.69,   47.36
