# noise_analysis run from DCC-NOISE-001003 at Mon Apr  8 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
08/04/2013 00:05:00,   50.92,   56.43,   41.46,   52.99,   58.07,   45.23
08/04/2013 00:10:00,   52.02,   57.08,   42.51,   54.69,   59.48,   45.48
08/04/2013 00:15:00,   52.50,   57.15,   42.91,   54.91,   59.99,   46.28
08/04/2013 00:20:00,   53.19,   58.83,   42.86,   55.26,   60.38,   45.81
08/04/2013 00:25:00,   52.73,   57.90,   43.78,   54.74,   59.54,   46.79
08/04/2013 00:30:00,   52.89,   58.70,   42.74,   54.92,   60.05,   46.59
08/04/2013 00:35:00,   54.68,   59.88,   43.30,   56.55,   61.00,   47.30
08/04/2013 00:40:00,   51.89,   57.54,   41.10,   54.09,   59.39,   44.65
08/04/2013 00:45:00,   51.55,   58.30,   41.84,   53.46,   59.22,   44.98
08/04/2013 00:50:00,   52.19,   57.86,   41.95,   53.80,   58.98,   44.99
08/04/2013 00:55:00,   53.21,   58.60,   43.45,   55.35,   60.18,   46.48
08/04/2013 01:00:00,   53.15,   59.34,   41.34,   54.75,   60.18,   45.04
08/04/2013 01:05:00,   52.51,   57.76,   41.69,   55.87,   60.74,   45.49
08/04/2013 01:10:00,   51.52,   58.13,   41.33,   53.57,   59.75,   45.07
08/04/2013 01:15:00,   52.12,   58.10,   42.14,   54.33,   59.72,   46.51
08/04/2013 01:20:00,   50.78,   58.35,   38.22,   52.78,   59.87,   41.91
08/04/2013 01:25:00,   48.55,   54.29,   38.23,   51.72,   57.43,   41.95
08/04/2013 01:30:00,   46.39,   53.82,   37.90,   48.44,   54.76,   41.68
08/04/2013 01:35:00,   45.43,   52.84,   37.17,   48.05,   54.95,   41.22
08/04/2013 01:40:00,   49.55,   56.71,   35.79,   51.35,   58.10,   40.23
08/04/2013 01:45:00,   47.36,   55.86,   35.93,   49.88,   57.20,   40.93
08/04/2013 01:50:00,   48.47,   55.88,   36.98,   50.60,   56.74,   41.36
08/04/2013 01:55:00,   48.54,   56.35,   37.26,   50.64,   57.89,   41.37
08/04/2013 02:00:00,   46.12,   53.08,   37.12,   48.30,   54.21,   40.92
08/04/2013 02:05:00,   47.51,   55.26,   37.69,   49.91,   57.18,   41.76
08/04/2013 02:10:00,   48.42,   55.90,   37.74,   50.36,   57.09,   42.32
08/04/2013 02:15:00,   46.21,   53.38,   37.17,   51.45,   56.82,   42.25
08/04/2013 02:20:00,   43.29,   50.93,   35.91,   46.35,   51.89,   40.86
08/04/2013 02:25:00,   44.81,   50.91,   37.22,   47.56,   52.61,   41.08
08/04/2013 02:30:00,   43.59,   47.34,   35.48,   45.66,   48.77,   39.85
08/04/2013 02:35:00,   43.99,   51.63,   34.84,   46.10,   52.57,   39.06
08/04/2013 02:40:00,   45.54,   52.44,   36.94,   47.48,   54.21,   40.26
08/04/2013 02:45:00,   47.57,   55.40,   35.87,   49.31,   56.61,   39.76
08/04/2013 02:50:00,   46.21,   54.38,   35.63,   48.17,   55.63,   40.08
08/04/2013 02:55:00,   47.91,   56.13,   35.86,   49.23,   56.89,   39.87
08/04/2013 03:00:00,   43.94,   51.44,   35.58,   46.70,   52.45,   39.95
08/04/2013 03:05:00,   46.40,   53.14,   36.57,   49.03,   54.98,   42.47
08/04/2013 03:10:00,   48.02,   56.19,   38.39,   50.71,   58.14,   43.48
08/04/2013 03:15:00,   44.27,   50.41,   35.76,   46.97,   52.39,   39.81
08/04/2013 03:20:00,   44.60,   51.59,   35.12,   46.42,   52.70,   39.55
08/04/2013 03:25:00,   47.66,   56.24,   36.41,   49.94,   58.58,   39.90
08/04/2013 03:30:00,   46.05,   51.68,   38.26,   48.06,   53.33,   41.62
08/04/2013 03:35:00,   45.82,   53.71,   37.47,   47.89,   55.22,   41.02
08/04/2013 03:40:00,   45.96,   54.41,   35.75,   48.40,   55.81,   40.07
08/04/2013 03:45:00,   46.66,   55.64,   35.43,   48.96,   57.13,   39.86
08/04/2013 03:50:00,   43.84,   51.61,   36.55,   46.30,   53.09,   41.05
08/04/2013 03:55:00,   42.19,   46.53,   35.79,   46.08,   50.02,   40.07
08/04/2013 04:00:00,   47.02,   54.60,   36.87,   48.96,   56.05,   40.66
08/04/2013 04:05:00,   46.63,   54.73,   36.48,   49.21,   56.87,   40.93
08/04/2013 04:10:00,   49.23,   58.10,   38.26,   52.14,   60.26,   42.39
08/04/2013 04:15:00,   46.84,   54.68,   38.53,   49.76,   56.14,   43.35
08/04/2013 04:20:00,   47.14,   54.68,   38.48,   50.30,   56.86,   42.77
08/04/2013 04:25:00,   43.88,   49.00,   37.34,   48.00,   52.82,   41.74
08/04/2013 04:30:00,   44.87,   51.84,   36.88,   48.34,   53.44,   42.20
08/04/2013 04:35:00,   43.98,   51.07,   37.02,   47.97,   53.74,   41.55
08/04/2013 04:40:00,   45.60,   50.84,   39.70,   51.48,   55.96,   44.30
08/04/2013 04:45:00,   50.79,   56.80,   41.87,   54.71,   60.11,   45.81
08/04/2013 04:50:00,   45.11,   52.22,   37.18,   48.13,   54.31,   42.28
08/04/2013 04:55:00,   41.11,   42.85,   37.97,   45.37,   47.85,   42.76
08/04/2013 05:00:00,   45.45,   49.59,   38.21,   50.12,   55.81,   42.50
08/04/2013 05:05:00,   45.38,   51.95,   38.00,   49.31,   54.58,   42.80
08/04/2013 05:10:00,   44.47,   50.24,   37.31,   47.34,   53.22,   41.70
08/04/2013 05:15:00,   44.48,   48.79,   37.39,   48.15,   54.06,   41.76
08/04/2013 05:20:00,   47.73,   53.64,   38.35,   50.86,   56.09,   43.46
08/04/2013 05:25:00,   49.02,   54.34,   39.90,   51.11,   57.12,   44.36
08/04/2013 05:30:00,   50.65,   57.09,   40.33,   51.88,   58.11,   43.88
08/04/2013 05:35:00,   50.92,   55.73,   41.93,   52.59,   57.74,   45.10
08/04/2013 05:40:00,   51.77,   57.12,   42.29,   52.91,   58.54,   45.63
08/04/2013 05:45:00,   52.43,   56.86,   44.25,   54.05,   59.00,   46.52
08/04/2013 05:50:00,   51.65,   56.98,   43.21,   52.94,   57.79,   45.78
08/04/2013 05:55:00,   51.99,   55.88,   45.10,   53.07,   57.41,   47.20
