# noise_analysis run from DCC-NOISE-001003 at Thu Apr 11 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
11/04/2013 00:05:00,   50.28,   56.04,   42.91,   52.25,   57.62,   45.90
11/04/2013 00:10:00,   51.70,   57.52,   42.85,   53.85,   58.72,   46.23
11/04/2013 00:15:00,   52.60,   58.38,   44.27,   54.53,   60.61,   46.93
11/04/2013 00:20:00,   50.97,   56.48,   42.59,   53.42,   58.73,   45.63
11/04/2013 00:25:00,   50.92,   56.90,   41.52,   53.10,   58.99,   44.75
11/04/2013 00:30:00,   52.17,   58.19,   41.94,   54.27,   60.07,   46.10
11/04/2013 00:35:00,   54.32,   60.85,   41.87,   55.79,   62.04,   44.88
11/04/2013 00:40:00,   49.78,   56.14,   40.60,   51.72,   57.59,   44.12
11/04/2013 00:45:00,   50.22,   56.97,   40.28,   52.23,   58.65,   43.92
11/04/2013 00:50:00,   51.54,   57.40,   42.20,   53.66,   59.22,   45.51
11/04/2013 00:55:00,   49.65,   55.90,   40.51,   52.20,   57.94,   44.05
11/04/2013 01:00:00,   50.47,   56.68,   41.41,   52.17,   57.83,   44.42
11/04/2013 01:05:00,   49.87,   57.05,   40.31,   52.13,   59.07,   43.73
11/04/2013 01:10:00,   50.63,   56.38,   40.16,   52.84,   58.73,   43.32
11/04/2013 01:15:00,   51.49,   58.00,   41.15,   53.06,   59.39,   44.66
11/04/2013 01:20:00,   52.33,   57.96,   40.28,   53.71,   58.87,   43.66
11/04/2013 01:25:00,   49.89,   56.75,   40.96,   51.79,   57.93,   44.41
11/04/2013 01:30:00,   45.15,   50.25,   38.17,   47.60,   52.17,   42.20
11/04/2013 01:35:00,   46.83,   53.88,   38.78,   48.85,   55.13,   42.45
11/04/2013 01:40:00,   45.92,   53.80,   37.57,   48.42,   55.80,   41.72
11/04/2013 01:45:00,   47.26,   55.30,   38.50,   49.63,   56.86,   42.47
11/04/2013 01:50:00,   46.59,   54.81,   36.47,   49.05,   56.67,   40.80
11/04/2013 01:55:00,   41.92,   45.53,   37.06,   45.06,   48.39,   41.41
11/04/2013 02:00:00,   44.73,   49.19,   38.23,   47.11,   51.43,   42.54
11/04/2013 02:05:00,   43.85,   49.27,   38.09,   46.77,   52.54,   42.49
11/04/2013 02:10:00,   46.96,   53.23,   37.20,   48.67,   54.97,   41.38
11/04/2013 02:15:00,   47.37,   55.54,   37.91,   49.36,   56.98,   41.75
11/04/2013 02:20:00,   47.46,   55.18,   37.58,   49.42,   56.47,   41.21
11/04/2013 02:25:00,   43.37,   49.45,   38.19,   46.81,   51.47,   42.19
11/04/2013 02:30:00,   44.25,   50.54,   37.46,   49.43,   56.66,   41.94
11/04/2013 02:35:00,   43.70,   48.15,   37.66,   46.09,   49.55,   41.57
11/04/2013 02:40:00,   42.67,   46.09,   38.56,   45.62,   48.30,   42.39
11/04/2013 02:45:00,   44.81,   49.57,   37.15,   47.19,   51.80,   41.56
11/04/2013 02:50:00,   44.74,   50.62,   39.14,   47.55,   52.24,   42.80
11/04/2013 02:55:00,   44.99,   52.03,   38.43,   47.98,   55.16,   42.67
11/04/2013 03:00:00,   42.39,   42.94,   38.58,   46.41,   46.95,   44.07
11/04/2013 03:05:00,   42.94,   48.68,   36.92,   46.70,   51.43,   42.74
11/04/2013 03:10:00,   41.22,   42.25,   36.97,   44.84,   45.65,   41.77
11/04/2013 03:15:00,   44.99,   51.58,   37.58,   47.53,   52.95,   41.74
11/04/2013 03:20:00,   46.72,   54.26,   37.82,   49.58,   56.33,   41.63
11/04/2013 03:25:00,   46.12,   52.08,   38.26,   48.00,   53.45,   42.32
11/04/2013 03:30:00,   43.44,   48.63,   37.12,   45.88,   49.52,   41.58
11/04/2013 03:35:00,   48.30,   57.24,   39.04,   50.53,   57.77,   42.68
11/04/2013 03:40:00,   46.03,   52.76,   37.49,   48.91,   54.17,   41.65
11/04/2013 03:45:00,   45.28,   50.57,   38.43,   47.80,   53.09,   41.91
11/04/2013 03:50:00,   47.65,   55.31,   38.96,   50.77,   57.55,   42.87
11/04/2013 03:55:00,   47.55,   54.51,   39.17,   49.47,   55.84,   42.81
11/04/2013 04:00:00,   46.02,   51.92,   39.18,   48.55,   54.40,   43.04
11/04/2013 04:05:00,   49.64,   58.74,   39.42,   51.51,   59.51,   43.17
11/04/2013 04:10:00,   45.81,   50.09,   39.93,   48.22,   51.57,   43.80
11/04/2013 04:15:00,   47.25,   54.19,   39.21,   49.87,   56.71,   43.01
11/04/2013 04:20:00,   40.59,   41.97,   38.84,   44.00,   45.21,   42.56
11/04/2013 04:25:00,   44.42,   48.77,   39.22,   47.46,   51.70,   42.99
11/04/2013 04:30:00,   48.08,   53.88,   41.22,   50.39,   56.50,   44.87
11/04/2013 04:35:00,   46.09,   49.47,   40.95,   48.09,   49.91,   44.91
11/04/2013 04:40:00,   51.10,   56.99,   42.60,   52.55,   58.13,   45.56
11/04/2013 04:45:00,   57.13,   58.53,   43.16,   57.75,   60.21,   46.18
11/04/2013 04:50:00,   48.87,   52.86,   42.11,   50.60,   55.10,   45.50
11/04/2013 04:55:00,   51.70,   57.66,   43.14,   52.74,   58.72,   45.91
11/04/2013 05:00:00,   48.58,   51.42,   42.75,   49.66,   51.88,   45.67
11/04/2013 05:05:00,   49.78,   54.35,   43.58,   50.40,   54.93,   46.06
11/04/2013 05:10:00,   49.45,   52.40,   44.51,   50.42,   53.16,   46.50
11/04/2013 05:15:00,   53.54,   58.22,   46.20,   55.95,   61.39,   47.90
11/04/2013 05:20:00,   50.90,   54.99,   44.08,   51.95,   57.10,   45.98
11/04/2013 05:25:00,   51.06,   56.19,   44.17,   51.57,   56.85,   45.99
11/04/2013 05:30:00,   52.86,   58.32,   44.91,   54.05,   59.34,   46.78
11/04/2013 05:35:00,   54.06,   59.08,   46.52,   54.85,   59.62,   47.69
11/04/2013 05:40:00,   55.09,   59.66,   46.76,   56.49,   61.29,   48.05
11/04/2013 05:45:00,   52.53,   57.17,   44.76,   53.74,   59.09,   46.57
11/04/2013 05:50:00,   55.23,   60.04,   47.20,   55.85,   60.36,   48.18
11/04/2013 05:55:00,   55.52,   60.64,   46.43,   55.96,   60.71,   48.37
11/04/2013 06:00:00,   55.55,   60.87,   46.45,   56.29,   61.27,   48.08
11/04/2013 06:05:00,   54.10,   61.09,   44.90,   54.29,   60.26,   47.19
11/04/2013 06:10:00,   55.84,   62.49,   44.71,   56.73,   61.99,   47.11
11/04/2013 06:15:00,   54.82,   60.77,   47.06,   55.52,   61.04,   49.08
11/04/2013 06:20:00,   54.81,   60.00,   46.40,   56.74,   61.77,   48.75
11/04/2013 06:25:00,   54.17,   60.04,   46.91,   56.46,   62.30,   49.29
11/04/2013 06:30:00,   56.51,   61.53,   48.53,   57.94,   62.68,   50.22
11/04/2013 06:35:00,   56.85,   62.46,   48.84,   57.78,   63.00,   50.50
11/04/2013 06:40:00,   57.12,   62.61,   49.54,   58.57,   63.89,   51.81
11/04/2013 06:45:00,   58.09,   61.64,   51.84,   59.03,   62.39,   53.11
11/04/2013 06:50:00,   56.49,   60.57,   49.37,   57.96,   61.51,   51.26
11/04/2013 06:55:00,   59.02,   63.50,   49.97,   60.83,   64.52,   52.65
11/04/2013 07:00:00,   59.40,   63.94,   52.51,   63.48,   68.99,   55.50
11/04/2013 07:05:00,   58.54,   62.81,   51.40,   61.46,   65.96,   54.86
11/04/2013 07:10:00,   59.04,   62.75,   51.69,   60.61,   64.22,   53.76
11/04/2013 07:15:00,   58.34,   62.92,   51.22,   59.88,   63.72,   53.18
11/04/2013 07:20:00,   57.11,   61.29,   49.38,   59.82,   63.48,   53.63
11/04/2013 07:25:00,   58.33,   61.76,   50.91,   60.84,   63.58,   54.79
11/04/2013 07:30:00,   60.16,   63.73,   53.27,   62.34,   65.24,   55.77
11/04/2013 07:35:00,   60.34,   64.08,   51.86,   61.81,   65.65,   56.53
11/04/2013 07:40:00,   60.98,   64.22,   55.59,   62.82,   65.51,   57.83
11/04/2013 07:45:00,   58.51,   62.88,   52.07,   61.59,   65.65,   55.11
11/04/2013 07:50:00,   58.27,   61.23,   53.51,   59.96,   62.95,   55.82
11/04/2013 07:55:00,   60.03,   63.68,   55.01,   62.98,   65.65,   58.53
11/04/2013 08:00:00,   58.48,   62.46,   52.17,   63.03,   66.19,   57.02
11/04/2013 08:05:00,   59.51,   62.92,   54.43,   62.16,   64.82,   57.79
11/04/2013 08:10:00,   61.28,   65.26,   54.55,   63.62,   67.19,   56.65
11/04/2013 08:15:00,   61.49,   64.40,   56.08,   63.71,   66.02,   59.39
11/04/2013 08:20:00,   60.75,   65.12,   54.41,   63.48,   66.91,   58.75
11/04/2013 08:25:00,   61.69,   65.16,   56.62,   64.13,   67.41,   59.31
11/04/2013 08:30:00,   60.64,   64.12,   55.52,   62.88,   65.99,   58.95
11/04/2013 08:35:00,   59.87,   63.14,   55.21,   62.25,   65.04,   58.48
11/04/2013 08:40:00,   60.77,   64.00,   56.74,   64.47,   67.37,   60.19
11/04/2013 08:45:00,   61.39,   65.13,   54.53,   66.47,   73.25,   57.91
11/04/2013 08:50:00,   60.64,   63.43,   56.49,   63.02,   65.69,   59.53
11/04/2013 08:55:00,   60.63,   63.66,   57.26,   63.47,   65.98,   60.52
11/04/2013 09:00:00,   61.20,   63.81,   56.98,   64.34,   66.98,   61.19
11/04/2013 09:05:00,   59.54,   63.84,   54.30,   62.95,   66.21,   58.64
11/04/2013 09:10:00,   60.91,   64.29,   53.77,   64.40,   67.44,   59.31
11/04/2013 09:15:00,   60.83,   64.58,   55.20,   63.28,   66.97,   58.45
11/04/2013 09:20:00,   59.09,   62.81,   53.93,   62.54,   66.20,   57.61
11/04/2013 09:25:00,   61.17,   63.45,   53.57,   64.34,   67.00,   58.83
11/04/2013 09:30:00,   59.08,   62.82,   54.54,   62.81,   66.43,   59.41
11/04/2013 09:35:00,   60.67,   63.23,   55.66,   63.98,   66.22,   59.28
11/04/2013 09:40:00,   58.74,   62.21,   53.66,   62.14,   65.42,   57.49
11/04/2013 09:45:00,   60.21,   63.51,   53.83,   62.41,   65.35,   57.52
11/04/2013 09:50:00,   58.81,   62.88,   53.47,   62.47,   64.94,   58.84
11/04/2013 09:55:00,   61.44,   64.01,   54.23,   65.71,   68.96,   58.91
11/04/2013 10:00:00,   58.59,   62.10,   52.82,   61.73,   64.60,   56.89
11/04/2013 10:05:00,   59.24,   62.55,   53.35,   63.05,   65.89,   57.88
11/04/2013 10:10:00,   57.88,   61.37,   53.02,   61.65,   64.66,   57.32
11/04/2013 10:15:00,   59.49,   62.76,   51.58,   62.61,   65.66,   56.74
11/04/2013 10:20:00,   58.99,   62.68,   53.42,   63.60,   66.86,   57.48
11/04/2013 10:25:00,   58.94,   62.04,   53.43,   62.47,   65.33,   57.67
11/04/2013 10:30:00,   59.65,   62.67,   54.10,   64.32,   66.89,   58.56
11/04/2013 10:35:00,   59.83,   63.38,   53.20,   62.97,   66.34,   57.66
11/04/2013 10:40:00,   62.36,   65.68,   56.70,   63.92,   66.69,   59.47
11/04/2013 10:45:00,   59.06,   62.37,   53.39,   62.25,   64.79,   57.77
11/04/2013 10:50:00,   58.48,   61.61,   52.29,   61.97,   64.69,   56.50
11/04/2013 10:55:00,   58.49,   61.97,   52.79,   61.74,   64.80,   57.06
11/04/2013 11:00:00,   58.33,   61.93,   52.00,   62.15,   65.44,   56.33
11/04/2013 11:05:00,   58.81,   61.97,   53.83,   62.86,   65.40,   58.47
11/04/2013 11:10:00,   59.48,   62.35,   53.53,   62.78,   65.52,   57.66
11/04/2013 11:15:00,   58.17,   61.20,   52.76,   61.45,   64.40,   56.37
11/04/2013 11:20:00,   58.51,   61.34,   51.72,   61.81,   64.97,   56.58
11/04/2013 11:25:00,   58.71,   61.79,   52.99,   62.22,   64.94,   56.96
11/04/2013 11:30:00,   59.81,   63.30,   52.09,   64.44,   68.87,   55.90
11/04/2013 11:35:00,   60.15,   62.87,   53.34,   63.38,   66.77,   57.06
11/04/2013 11:40:00,   58.38,   61.50,   53.10,   61.48,   64.30,   57.46
11/04/2013 11:45:00,   58.21,   61.51,   52.77,   61.85,   64.75,   57.51
11/04/2013 11:50:00,   58.47,   62.27,   50.87,   62.22,   65.50,   57.04
11/04/2013 11:55:00,   59.31,   62.52,   53.25,   62.33,   65.74,   57.30
11/04/2013 12:00:00,   58.56,   61.39,   53.38,   62.09,   64.75,   58.46
11/04/2013 12:05:00,   59.25,   61.84,   54.24,   62.31,   64.59,   57.79
11/04/2013 12:10:00,   58.53,   63.02,   51.30,   62.47,   67.30,   55.34
11/04/2013 12:15:00,   58.66,   61.53,   53.13,   62.51,   65.46,   57.32
11/04/2013 12:20:00,   58.74,   61.14,   53.29,   63.57,   66.69,   57.42
11/04/2013 12:25:00,   58.59,   61.89,   53.45,   62.17,   65.27,   56.80
11/04/2013 12:30:00,   58.38,   61.76,   52.79,   62.00,   65.23,   56.16
11/04/2013 12:35:00,   58.26,   61.25,   53.43,   61.74,   64.51,   57.57
11/04/2013 12:40:00,   59.17,   62.21,   54.16,   62.18,   64.85,   58.08
11/04/2013 12:45:00,   58.13,   60.89,   53.81,   61.47,   63.78,   57.05
11/04/2013 12:50:00,   58.93,   61.71,   54.23,   61.99,   64.73,   57.57
11/04/2013 12:55:00,   60.26,   63.20,   55.82,   62.17,   64.82,   57.85
11/04/2013 13:00:00,   60.88,   62.34,   53.07,   63.00,   64.37,   55.99
11/04/2013 13:05:00,   57.42,   60.50,   51.84,   61.91,   64.71,   56.86
11/04/2013 13:10:00,   58.30,   60.84,   52.05,   62.55,   65.25,   56.63
11/04/2013 13:15:00,   57.64,   60.57,   53.44,   62.58,   65.89,   57.43
11/04/2013 13:20:00,   59.68,   62.20,   54.73,   62.09,   64.33,   58.00
11/04/2013 13:25:00,   58.30,   60.73,   54.05,   61.95,   64.15,   57.77
11/04/2013 13:30:00,   58.65,   61.58,   53.84,   62.16,   65.00,   56.80
11/04/2013 13:35:00,   56.43,   59.12,   51.61,   61.34,   64.28,   57.10
11/04/2013 13:40:00,   57.19,   60.54,   51.29,   61.49,   65.19,   56.08
11/04/2013 13:45:00,   58.64,   61.47,   51.43,   63.34,   65.96,   57.04
11/04/2013 13:50:00,   57.26,   60.88,   51.53,   61.48,   65.30,   56.31
11/04/2013 13:55:00,   58.52,   61.32,   53.15,   62.38,   65.00,   57.05
11/04/2013 14:00:00,   58.42,   60.94,   53.19,   61.82,   64.07,   57.01
11/04/2013 14:05:00,   59.32,   61.65,   55.22,   62.06,   64.35,   57.74
11/04/2013 14:10:00,   60.07,   62.16,   56.60,   62.43,   64.62,   58.83
11/04/2013 14:15:00,   59.37,   61.80,   54.24,   63.08,   64.37,   58.01
11/04/2013 14:20:00,   59.39,   61.97,   55.69,   63.31,   65.98,   59.54
11/04/2013 14:25:00,   60.16,   62.86,   55.68,   63.46,   65.82,   59.77
11/04/2013 14:30:00,   60.36,   63.17,   56.82,   62.87,   65.25,   59.42
