# noise_analysis run from DCC-NOISE-001003 at Tue Apr 16 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
16/04/2013 00:05:00,   56.63,   61.23,   50.02,   64.80,   70.19,   54.57
16/04/2013 00:10:00,   55.83,   59.21,   50.89,   65.54,   71.26,   55.71
16/04/2013 00:15:00,   55.06,   59.60,   49.71,   63.39,   69.74,   54.78
16/04/2013 00:20:00,   56.71,   60.93,   48.25,   68.36,   75.23,   54.36
16/04/2013 00:25:00,   54.58,   58.27,   48.20,   63.34,   68.99,   53.17
16/04/2013 00:30:00,   55.51,   58.62,   48.87,   63.52,   68.49,   54.17
16/04/2013 00:35:00,   54.58,   59.30,   49.08,   62.11,   66.66,   54.03
16/04/2013 00:40:00,   54.02,   58.59,   48.73,   60.78,   65.60,   53.17
16/04/2013 00:45:00,   56.09,   60.08,   49.20,   66.21,   73.00,   55.63
16/04/2013 00:50:00,   57.27,   61.37,   50.73,   65.83,   70.25,   56.48
16/04/2013 00:55:00,   54.21,   57.71,   49.99,   64.03,   68.65,   56.11
16/04/2013 01:00:00,   53.84,   57.88,   48.05,   61.92,   67.54,   52.88
16/04/2013 01:05:00,   54.52,   58.73,   48.63,   64.21,   70.04,   54.16
16/04/2013 01:10:00,   53.89,   58.83,   47.90,   61.83,   67.92,   53.38
16/04/2013 01:15:00,   53.94,   58.26,   46.96,   64.88,   72.19,   52.81
16/04/2013 01:20:00,   54.34,   58.75,   46.02,   63.94,   70.20,   51.46
16/04/2013 01:25:00,   55.10,   60.65,   46.31,   65.66,   73.89,   52.13
16/04/2013 01:30:00,   54.70,   58.33,   46.77,   64.73,   70.76,   52.81
16/04/2013 01:35:00,   56.26,   60.10,   46.95,   66.31,   72.08,   52.70
16/04/2013 01:40:00,   57.98,   62.08,   50.94,   68.73,   75.05,   56.34
16/04/2013 01:45:00,   54.90,   59.11,   47.57,   66.30,   74.84,   53.10
16/04/2013 01:50:00,   56.37,   60.19,   50.19,   65.55,   71.80,   53.51
16/04/2013 01:55:00,   58.25,   62.03,   51.86,   68.47,   75.39,   56.48
16/04/2013 02:00:00,   56.27,   60.80,   48.56,   64.48,   69.24,   54.68
16/04/2013 02:05:00,   51.50,   54.56,   47.26,   60.42,   64.89,   52.78
