# noise_analysis run from DCC-NOISE-001003 at Fri Apr 19 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
19/04/2013 00:05:00,   56.38,   60.03,   49.82,   60.82,   65.46,   54.46
19/04/2013 00:10:00,   54.75,   58.76,   48.58,   57.38,   60.38,   52.67
19/04/2013 00:15:00,   54.78,   58.92,   48.96,   58.68,   62.33,   53.46
19/04/2013 00:20:00,   53.88,   57.90,   48.85,   57.29,   61.15,   53.15
19/04/2013 00:25:00,   55.77,   60.68,   51.01,   58.27,   62.52,   54.56
19/04/2013 00:30:00,   53.51,   58.10,   48.91,   56.84,   60.65,   52.78
19/04/2013 00:35:00,   54.48,   58.62,   48.44,   57.09,   60.94,   52.57
19/04/2013 00:40:00,   53.59,   58.93,   48.51,   56.50,   60.40,   52.47
19/04/2013 00:45:00,   54.42,   58.56,   48.97,   56.90,   60.58,   52.51
19/04/2013 00:50:00,   55.12,   60.00,   48.96,   57.52,   61.36,   52.51
19/04/2013 00:55:00,   55.80,   60.61,   50.36,   58.34,   62.45,   53.29
19/04/2013 01:00:00,   53.63,   58.80,   47.97,   57.06,   61.05,   52.50
19/04/2013 01:05:00,   53.74,   59.37,   47.74,   57.01,   61.62,   52.03
19/04/2013 01:10:00,   52.92,   57.11,   48.27,   56.09,   59.38,   52.27
19/04/2013 01:15:00,   52.38,   56.31,   47.19,   55.16,   58.43,   51.46
19/04/2013 01:20:00,   52.81,   58.63,   46.53,   55.86,   59.90,   50.91
19/04/2013 01:25:00,   54.89,   59.71,   48.18,   57.42,   61.34,   52.59
19/04/2013 01:30:00,   52.76,   58.64,   47.13,   55.54,   60.32,   51.32
19/04/2013 01:35:00,   51.53,   56.45,   46.54,   54.56,   57.69,   51.10
19/04/2013 01:40:00,   50.35,   54.50,   46.12,   54.09,   57.98,   50.23
19/04/2013 01:45:00,   54.67,   59.80,   47.09,   56.45,   60.83,   51.10
19/04/2013 01:50:00,   51.47,   57.47,   46.52,   54.52,   58.78,   50.68
19/04/2013 01:55:00,   52.37,   57.41,   47.00,   55.06,   58.58,   51.14
19/04/2013 02:00:00,   54.24,   60.09,   48.05,   56.45,   61.28,   51.74
19/04/2013 02:05:00,   52.29,   57.63,   46.86,   55.05,   59.67,   50.60
19/04/2013 02:10:00,   51.08,   55.74,   46.57,   54.03,   57.31,   50.81
19/04/2013 02:15:00,   53.02,   58.56,   47.63,   55.73,   60.09,   51.67
19/04/2013 02:20:00,   53.39,   58.44,   47.54,   55.84,   60.42,   51.50
19/04/2013 02:25:00,   48.91,   52.47,   45.05,   52.42,   54.80,   49.34
19/04/2013 02:30:00,   50.96,   55.68,   46.71,   54.13,   57.13,   50.75
19/04/2013 02:35:00,   50.07,   54.59,   46.57,   54.05,   57.31,   51.01
19/04/2013 02:40:00,   48.37,   50.29,   45.78,   52.63,   54.08,   49.84
19/04/2013 02:45:00,   50.57,   55.92,   44.90,   54.01,   58.18,   49.51
19/04/2013 02:50:00,   50.27,   56.09,   43.44,   52.98,   57.57,   48.02
19/04/2013 02:55:00,   53.22,   58.53,   47.61,   56.05,   60.06,   51.82
19/04/2013 03:00:00,   48.82,   53.73,   44.02,   52.95,   57.44,   48.86
19/04/2013 03:05:00,   47.76,   51.78,   44.84,   52.11,   54.96,   49.40
19/04/2013 03:10:00,   52.43,   57.44,   46.18,   55.21,   59.23,   50.49
19/04/2013 03:15:00,   48.41,   50.87,   45.02,   52.42,   55.75,   49.52
19/04/2013 03:20:00,   49.34,   52.35,   45.68,   53.28,   56.20,   49.84
19/04/2013 03:25:00,   47.41,   49.89,   44.42,   51.88,   54.80,   49.18
19/04/2013 03:30:00,   51.70,   57.82,   45.30,   54.88,   59.96,   49.73
19/04/2013 03:35:00,   51.05,   56.00,   45.18,   54.82,   58.44,   50.16
19/04/2013 03:40:00,   48.47,   51.57,   44.11,   52.97,   56.22,   48.98
19/04/2013 03:45:00,   52.46,   57.61,   45.74,   55.74,   60.36,   50.37
19/04/2013 03:50:00,   50.40,   54.98,   45.83,   54.48,   59.11,   50.21
19/04/2013 03:55:00,   53.03,   59.72,   46.37,   56.22,   61.00,   50.79
19/04/2013 04:00:00,   52.45,   56.80,   48.41,   56.59,   60.82,   52.21
19/04/2013 04:05:00,   49.84,   55.53,   46.01,   54.22,   58.84,   50.22
19/04/2013 04:10:00,   52.42,   57.84,   47.23,   55.50,   59.89,   51.38
19/04/2013 04:15:00,   51.16,   55.69,   47.52,   54.81,   58.91,   51.30
19/04/2013 04:20:00,   50.48,   55.72,   46.64,   53.78,   57.73,   50.47
19/04/2013 04:25:00,   51.75,   55.39,   47.69,   54.63,   57.67,   51.63
19/04/2013 04:30:00,   52.39,   57.44,   47.35,   55.44,   59.95,   51.29
19/04/2013 04:35:00,   51.22,   54.91,   48.61,   54.91,   57.55,   52.37
19/04/2013 04:40:00,   51.64,   54.96,   48.66,   54.81,   57.99,   52.26
19/04/2013 04:45:00,   53.45,   57.71,   50.15,   56.21,   59.29,   53.72
19/04/2013 04:50:00,   52.89,   56.66,   50.30,   56.17,   59.33,   53.84
19/04/2013 04:55:00,   53.54,   57.85,   49.35,   56.18,   60.24,   53.02
19/04/2013 05:00:00,   54.59,   58.00,   50.62,   57.59,   60.28,   54.88
19/04/2013 05:05:00,   54.09,   56.99,   51.41,   57.35,   59.84,   55.10
19/04/2013 05:10:00,   55.45,   59.82,   51.47,   58.25,   62.03,   54.82
19/04/2013 05:15:00,   54.50,   57.67,   51.83,   57.11,   59.57,   55.31
19/04/2013 05:20:00,   56.27,   59.72,   53.12,   59.06,   62.42,   56.26
19/04/2013 05:25:00,   58.94,   63.05,   53.77,   61.24,   64.28,   56.81
19/04/2013 05:30:00,   57.82,   61.13,   53.24,   60.50,   63.40,   56.92
19/04/2013 05:35:00,   56.64,   59.52,   54.08,   59.62,   62.51,   57.15
19/04/2013 05:40:00,   57.12,   61.10,   53.09,   59.62,   63.01,   55.85
19/04/2013 05:45:00,   55.74,   58.99,   52.64,   58.65,   61.53,   56.02
19/04/2013 05:50:00,   55.59,   58.50,   52.73,   58.76,   61.31,   56.00
19/04/2013 05:55:00,   55.28,   57.71,   52.65,   58.18,   60.36,   55.94
19/04/2013 06:00:00,   57.06,   60.15,   53.24,   60.02,   62.63,   56.36
19/04/2013 06:05:00,   57.49,   61.27,   53.89,   60.17,   63.00,   57.36
19/04/2013 06:10:00,   57.64,   60.48,   54.52,   60.77,   63.71,   58.15
19/04/2013 06:15:00,   58.16,   60.73,   55.53,   61.13,   63.24,   58.68
19/04/2013 06:20:00,   58.70,   61.85,   56.12,   61.88,   64.19,   59.73
19/04/2013 06:25:00,   60.35,   63.04,   57.24,   63.84,   66.69,   60.66
19/04/2013 06:30:00,   59.22,   61.69,   56.88,   62.62,   65.19,   60.49
19/04/2013 06:35:00,   60.40,   63.19,   57.78,   63.65,   66.16,   61.20
19/04/2013 06:40:00,   60.49,   62.13,   58.32,   63.94,   65.86,   61.42
19/04/2013 06:45:00,   60.31,   63.36,   57.67,   63.52,   66.37,   60.76
19/04/2013 06:50:00,   61.25,   64.76,   57.63,   64.67,   68.06,   61.08
19/04/2013 06:55:00,   60.24,   62.50,   58.14,   63.25,   64.60,   61.40
19/04/2013 07:00:00,   61.14,   63.72,   58.42,   64.97,   68.24,   61.56
19/04/2013 07:05:00,   61.59,   64.76,   58.51,   64.85,   67.51,   61.77
19/04/2013 07:10:00,   61.96,   64.60,   58.70,   65.07,   68.26,   61.83
19/04/2013 07:15:00,   60.99,   63.15,   58.52,   63.96,   65.65,   61.63
19/04/2013 07:20:00,   62.67,   66.71,   58.66,   67.26,   71.71,   61.39
19/04/2013 07:25:00,   61.23,   64.03,   58.43,   64.69,   67.48,   61.41
19/04/2013 07:30:00,   60.81,   62.98,   58.51,   64.33,   66.35,   61.88
19/04/2013 07:35:00,   63.22,   65.31,   58.04,   65.59,   68.28,   61.13
19/04/2013 07:40:00,   61.16,   63.53,   58.25,   64.69,   66.46,   62.06
19/04/2013 07:45:00,   60.37,   63.02,   57.02,   64.36,   67.17,   60.38
19/04/2013 07:50:00,   60.36,   62.39,   56.14,   64.17,   66.77,   59.64
19/04/2013 07:55:00,   60.72,   62.87,   56.20,   63.66,   65.71,   59.76
19/04/2013 08:00:00,   59.76,   62.17,   56.13,   63.49,   66.04,   59.60
19/04/2013 08:05:00,   59.69,   62.17,   56.81,   63.30,   65.58,   60.51
19/04/2013 08:10:00,   60.54,   62.97,   57.05,   63.81,   65.67,   60.40
19/04/2013 08:15:00,   59.35,   62.92,   54.96,   63.30,   66.71,   59.46
19/04/2013 08:20:00,   59.25,   62.16,   55.40,   62.96,   65.24,   59.56
19/04/2013 08:25:00,   59.69,   62.23,   56.29,   63.39,   66.18,   59.97
19/04/2013 08:30:00,   59.35,   62.91,   55.30,   64.14,   67.97,   59.93
19/04/2013 08:35:00,   58.71,   61.59,   55.21,   63.50,   66.33,   59.85
19/04/2013 08:40:00,   59.02,   61.14,   56.06,   63.53,   65.49,   60.91
19/04/2013 08:45:00,   58.45,   60.54,   55.38,   62.94,   64.92,   59.86
19/04/2013 08:50:00,   59.28,   62.36,   54.78,   63.48,   66.40,   59.98
19/04/2013 08:55:00,   58.77,   61.69,   55.00,   63.10,   64.98,   59.60
19/04/2013 09:00:00,   57.49,   60.57,   53.60,   62.10,   64.45,   59.13
19/04/2013 09:05:00,   58.01,   60.56,   54.11,   63.46,   66.02,   58.80
19/04/2013 09:10:00,   57.84,   60.82,   53.77,   62.66,   65.44,   58.53
19/04/2013 09:15:00,   57.94,   61.46,   52.41,   61.36,   64.20,   56.97
19/04/2013 09:20:00,   58.45,   61.48,   52.98,   62.43,   65.93,   57.01
19/04/2013 09:25:00,   58.73,   62.45,   53.39,   61.76,   64.59,   56.75
19/04/2013 09:30:00,   59.00,   62.79,   51.90,   63.52,   68.94,   57.27
19/04/2013 09:35:00,   58.29,   61.94,   50.33,   62.34,   66.08,   55.08
19/04/2013 09:40:00,   59.12,   63.19,   52.20,   63.10,   67.48,   57.36
19/04/2013 09:45:00,   57.68,   60.77,   52.62,   61.78,   64.37,   56.70
19/04/2013 09:50:00,   57.56,   60.77,   52.45,   61.61,   64.59,   56.87
19/04/2013 09:55:00,   59.38,   62.54,   54.62,   63.15,   67.17,   57.59
19/04/2013 10:00:00,   58.17,   61.89,   54.03,   61.36,   63.70,   57.26
19/04/2013 10:05:00,   57.41,   60.70,   52.46,   61.59,   64.34,   57.27
19/04/2013 10:10:00,   58.48,   61.42,   54.50,   63.03,   66.52,   58.53
19/04/2013 10:15:00,   57.00,   60.24,   52.09,   63.26,   66.74,   56.49
19/04/2013 10:20:00,   57.57,   60.44,   52.99,   62.65,   64.86,   56.92
19/04/2013 10:25:00,   58.24,   61.46,   53.97,   61.89,   64.94,   57.54
19/04/2013 10:30:00,   59.20,   61.86,   53.36,   62.61,   66.04,   57.14
19/04/2013 10:35:00,   57.73,   60.14,   54.00,   60.59,   62.93,   57.40
19/04/2013 10:40:00,   57.63,   60.21,   53.17,   61.21,   63.61,   56.84
19/04/2013 10:45:00,   57.19,   60.12,   53.14,   61.28,   63.77,   57.29
19/04/2013 10:50:00,   56.69,   60.23,   52.46,   60.54,   63.77,   56.80
19/04/2013 10:55:00,   56.51,   59.50,   51.17,   60.96,   64.16,   54.95
19/04/2013 11:00:00,   56.32,   59.87,   51.57,   61.46,   64.40,   57.28
19/04/2013 11:05:00,   57.17,   60.57,   52.01,   62.39,   65.15,   57.57
19/04/2013 11:10:00,   58.40,   61.89,   52.63,   62.19,   65.05,   56.96
19/04/2013 11:15:00,   56.53,   59.52,   52.23,   61.10,   63.63,   57.23
19/04/2013 11:20:00,   57.17,   59.95,   50.74,   61.61,   64.23,   55.82
19/04/2013 11:25:00,   58.21,   61.01,   52.11,   63.47,   66.49,   56.99
19/04/2013 11:30:00,   56.85,   59.70,   51.53,   63.17,   67.22,   57.10
19/04/2013 11:35:00,   56.78,   60.30,   50.86,   60.89,   64.23,   55.87
19/04/2013 11:40:00,   56.42,   59.15,   51.22,   60.62,   63.91,   55.92
19/04/2013 11:45:00,   56.45,   59.79,   50.98,   61.48,   64.40,   56.10
19/04/2013 11:50:00,   57.29,   61.01,   51.14,   62.86,   66.96,   56.21
19/04/2013 11:55:00,   58.04,   59.96,   52.74,   63.69,   65.93,   58.39
19/04/2013 12:00:00,   55.74,   58.95,   50.38,   60.63,   63.43,   56.06
19/04/2013 12:05:00,   57.26,   59.70,   52.75,   63.35,   66.15,   59.28
19/04/2013 12:10:00,   55.82,   58.50,   51.49,   62.09,   65.19,   57.58
19/04/2013 12:15:00,   57.55,   61.24,   52.03,   64.04,   67.80,   58.78
19/04/2013 12:20:00,   55.13,   57.89,   50.87,   60.46,   63.68,   55.70
19/04/2013 12:25:00,   57.83,   60.20,   53.56,   62.78,   65.36,   58.34
19/04/2013 12:30:00,   56.79,   59.11,   51.53,   61.80,   64.95,   56.77
19/04/2013 12:35:00,   57.91,   61.16,   51.28,   63.02,   66.57,   57.09
19/04/2013 12:40:00,   58.55,   61.66,   53.36,   61.25,   64.03,   56.33
19/04/2013 12:45:00,   59.99,   61.59,   56.49,   63.00,   66.32,   57.73
19/04/2013 12:50:00,   58.84,   61.01,   54.48,   61.48,   63.56,   57.65
19/04/2013 12:55:00,   56.42,   59.37,   51.79,   60.69,   63.75,   56.27
19/04/2013 13:00:00,   56.61,   59.32,   52.01,   62.80,   65.43,   57.50
19/04/2013 13:05:00,   56.31,   60.04,   49.80,   61.03,   64.17,   54.59
19/04/2013 13:10:00,   57.52,   60.97,   51.10,   61.94,   64.36,   56.65
19/04/2013 13:15:00,   57.58,   60.63,   52.17,   61.65,   64.31,   57.49
19/04/2013 13:20:00,   57.99,   60.75,   53.21,   61.48,   64.02,   57.40
19/04/2013 13:25:00,   59.45,   62.10,   53.83,   62.35,   65.03,   56.97
19/04/2013 13:30:00,   57.19,   60.26,   50.55,   62.32,   66.23,   56.57
19/04/2013 13:35:00,   57.66,   60.33,   52.60,   61.93,   65.02,   57.56
19/04/2013 13:40:00,   57.09,   59.77,   51.24,   61.17,   63.81,   55.95
19/04/2013 13:45:00,   56.05,   58.88,   50.64,   60.50,   63.07,   55.54
19/04/2013 13:50:00,   56.38,   60.03,   49.39,   60.59,   63.74,   53.93
19/04/2013 13:55:00,   56.12,   58.98,   49.69,   61.51,   65.11,   55.32
19/04/2013 14:00:00,   56.79,   60.02,   51.55,   61.12,   63.79,   56.69
19/04/2013 14:05:00,   57.95,   60.96,   52.93,   61.45,   64.65,   57.27
