# noise_analysis run from DCC-NOISE-001003 at Sat Apr 20 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
20/04/2013 00:05:00,   54.39,   58.88,   47.67,   57.14,   61.92,   50.97
20/04/2013 00:10:00,   53.19,   58.00,   46.28,   55.69,   59.78,   49.30
20/04/2013 00:15:00,   52.50,   57.72,   46.17,   54.99,   59.89,   49.24
20/04/2013 00:20:00,   54.80,   59.78,   47.57,   57.17,   61.40,   50.31
20/04/2013 00:25:00,   54.51,   58.91,   46.72,   57.33,   61.98,   49.58
20/04/2013 00:30:00,   54.59,   59.38,   47.75,   57.02,   61.18,   50.54
20/04/2013 00:35:00,   53.48,   58.43,   46.24,   55.86,   60.45,   49.06
20/04/2013 00:40:00,   52.76,   58.39,   46.30,   55.01,   60.75,   49.03
20/04/2013 00:45:00,   52.11,   58.55,   44.66,   54.08,   59.77,   48.05
20/04/2013 00:50:00,   54.97,   60.07,   46.82,   56.55,   61.02,   49.41
20/04/2013 00:55:00,   52.48,   56.33,   46.48,   55.01,   59.07,   49.56
20/04/2013 01:00:00,   52.99,   58.26,   44.86,   55.10,   59.95,   47.54
20/04/2013 01:05:00,   53.64,   57.65,   47.88,   55.98,   59.83,   50.90
20/04/2013 01:10:00,   52.15,   56.94,   46.16,   54.49,   59.05,   49.24
20/04/2013 01:15:00,   53.70,   58.45,   47.64,   55.79,   60.11,   50.37
20/04/2013 01:20:00,   54.75,   59.30,   47.70,   56.39,   60.89,   49.70
20/04/2013 01:25:00,   54.71,   59.30,   48.88,   57.12,   61.53,   51.30
20/04/2013 01:30:00,   53.54,   58.49,   47.39,   55.96,   60.46,   49.95
20/04/2013 01:35:00,   53.99,   58.25,   46.49,   56.48,   60.70,   49.41
20/04/2013 01:40:00,   52.99,   57.80,   46.67,   55.36,   59.51,   49.51
20/04/2013 01:45:00,   54.69,   57.96,   48.49,   56.54,   59.63,   50.92
20/04/2013 01:50:00,   54.29,   59.03,   46.62,   56.17,   60.46,   49.56
20/04/2013 01:55:00,   54.93,   60.51,   46.72,   56.84,   62.45,   48.89
20/04/2013 02:00:00,   54.54,   58.49,   48.16,   56.94,   61.31,   50.67
20/04/2013 02:05:00,   53.95,   59.05,   46.00,   56.34,   60.71,   48.65
20/04/2013 02:10:00,   53.62,   58.72,   45.16,   55.35,   60.20,   47.91
20/04/2013 02:15:00,   51.42,   56.51,   45.05,   53.84,   59.51,   47.64
20/04/2013 02:20:00,   51.55,   56.33,   44.88,   54.02,   58.51,   47.86
20/04/2013 02:25:00,   53.57,   58.84,   45.60,   55.26,   59.91,   48.38
20/04/2013 02:30:00,   52.72,   57.68,   45.29,   54.81,   59.16,   47.98
20/04/2013 02:35:00,   52.06,   57.64,   45.05,   54.17,   59.13,   47.89
20/04/2013 02:40:00,   51.71,   57.22,   44.46,   53.81,   58.68,   47.95
20/04/2013 02:45:00,   51.04,   55.82,   43.29,   53.26,   58.12,   47.55
20/04/2013 02:50:00,   49.79,   54.27,   44.05,   52.57,   57.06,   47.51
20/04/2013 02:55:00,   54.80,   59.87,   48.54,   56.46,   60.59,   50.91
20/04/2013 03:00:00,   52.47,   57.15,   46.42,   54.43,   58.90,   48.99
20/04/2013 03:05:00,   52.22,   57.02,   44.36,   54.62,   59.64,   47.55
20/04/2013 03:10:00,   52.57,   56.86,   45.12,   55.06,   59.55,   48.34
20/04/2013 03:15:00,   53.87,   58.57,   46.32,   55.77,   60.32,   49.90
20/04/2013 03:20:00,   48.87,   54.26,   42.37,   51.26,   56.23,   46.26
20/04/2013 03:25:00,   50.44,   56.55,   43.07,   52.87,   58.11,   46.64
20/04/2013 03:30:00,   50.75,   58.08,   42.91,   53.40,   59.40,   46.81
20/04/2013 03:35:00,   52.62,   58.44,   43.88,   54.89,   60.57,   47.36
20/04/2013 03:40:00,   50.67,   56.83,   41.52,   53.10,   59.12,   46.01
20/04/2013 03:45:00,   50.73,   55.72,   43.09,   52.53,   56.92,   46.92
20/04/2013 03:50:00,   52.09,   57.97,   42.94,   54.22,   59.58,   46.78
20/04/2013 03:55:00,   52.44,   57.74,   44.44,   54.69,   59.12,   47.83
20/04/2013 04:00:00,   51.71,   57.56,   45.48,   54.14,   59.65,   48.69
20/04/2013 04:05:00,   52.03,   57.37,   45.97,   54.32,   59.49,   49.37
20/04/2013 04:10:00,   50.43,   55.41,   43.89,   53.05,   57.52,   47.61
20/04/2013 04:15:00,   48.58,   52.13,   43.84,   51.26,   54.68,   46.64
20/04/2013 04:20:00,   51.26,   57.80,   42.66,   53.30,   58.97,   46.07
20/04/2013 04:25:00,   51.40,   56.83,   44.05,   53.52,   58.79,   47.02
20/04/2013 04:30:00,   49.81,   56.06,   42.85,   52.82,   58.83,   46.82
20/04/2013 04:35:00,   51.21,   56.90,   45.26,   54.00,   59.30,   48.49
20/04/2013 04:40:00,   51.28,   56.64,   44.23,   53.71,   58.82,   47.62
20/04/2013 04:45:00,   50.58,   54.72,   45.29,   52.85,   56.68,   49.03
20/04/2013 04:50:00,   50.94,   55.39,   45.56,   53.07,   56.99,   48.77
20/04/2013 04:55:00,   51.03,   56.58,   45.05,   53.11,   58.08,   47.76
20/04/2013 05:00:00,   51.12,   56.16,   44.33,   52.44,   57.59,   46.99
20/04/2013 05:05:00,   51.75,   55.67,   47.06,   54.08,   58.00,   49.55
20/04/2013 05:10:00,   53.70,   58.21,   48.42,   55.22,   59.58,   50.57
20/04/2013 05:15:00,   54.09,   57.33,   49.44,   55.88,   58.99,   51.46
20/04/2013 05:20:00,   53.63,   56.50,   49.43,   55.41,   58.28,   51.71
20/04/2013 05:25:00,   55.89,   60.72,   48.73,   57.34,   61.65,   51.02
20/04/2013 05:30:00,   53.54,   58.48,   47.37,   55.12,   59.41,   50.09
20/04/2013 05:35:00,   53.21,   57.93,   47.31,   55.31,   60.21,   50.02
20/04/2013 05:40:00,   52.15,   57.14,   46.86,   54.23,   59.12,   49.80
20/04/2013 05:45:00,   52.94,   57.82,   46.82,   54.72,   58.98,   49.46
20/04/2013 05:50:00,   54.04,   58.43,   47.38,   56.76,   61.28,   50.49
20/04/2013 05:55:00,   53.59,   58.43,   48.01,   55.72,   60.23,   50.70
20/04/2013 06:00:00,   52.14,   58.32,   46.74,   53.99,   59.19,   49.41
20/04/2013 06:05:00,   57.36,   62.45,   48.06,   58.05,   62.37,   50.80
20/04/2013 06:10:00,   56.48,   60.36,   51.56,   57.99,   61.48,   54.23
20/04/2013 06:15:00,   56.60,   59.90,   52.24,   58.76,   61.79,   55.57
20/04/2013 06:20:00,   53.95,   57.28,   48.99,   57.23,   60.00,   52.48
20/04/2013 06:25:00,   54.24,   58.75,   48.76,   56.47,   60.14,   51.96
20/04/2013 06:30:00,   54.75,   58.82,   49.22,   59.53,   64.03,   53.04
20/04/2013 06:35:00,   55.17,   60.65,   48.57,   57.63,   62.53,   51.47
20/04/2013 06:40:00,   56.14,   61.33,   50.43,   60.84,   66.63,   53.57
20/04/2013 06:45:00,   56.08,   60.64,   48.83,   59.90,   65.47,   52.28
20/04/2013 06:50:00,   55.80,   60.94,   48.79,   59.99,   65.38,   53.68
20/04/2013 06:55:00,   56.68,   61.88,   49.53,   60.96,   66.04,   53.50
20/04/2013 07:00:00,   56.08,   60.34,   50.32,   59.16,   62.92,   54.39
20/04/2013 07:05:00,   56.39,   61.23,   49.39,   61.07,   65.80,   53.82
20/04/2013 07:10:00,   58.28,   63.58,   52.79,   62.21,   67.91,   55.83
20/04/2013 07:15:00,   57.55,   60.63,   52.68,   61.19,   63.58,   56.83
20/04/2013 07:20:00,   56.64,   60.27,   51.94,   60.01,   62.65,   55.95
20/04/2013 07:25:00,   55.79,   58.81,   52.33,   58.34,   61.07,   55.19
20/04/2013 07:30:00,   56.20,   59.07,   52.89,   59.82,   63.66,   55.95
20/04/2013 07:35:00,   58.13,   62.24,   53.59,   61.42,   65.32,   56.81
20/04/2013 07:40:00,   56.09,   58.99,   52.70,   59.37,   62.26,   56.01
20/04/2013 07:45:00,   56.41,   59.86,   52.49,   59.92,   63.06,   56.43
20/04/2013 07:50:00,   56.30,   59.87,   52.75,   59.86,   63.43,   55.72
20/04/2013 07:55:00,   54.22,   56.55,   50.47,   57.66,   60.98,   54.18
20/04/2013 08:00:00,   54.70,   58.84,   49.99,   57.48,   61.52,   53.36
20/04/2013 08:05:00,   56.11,   59.40,   51.00,   59.64,   62.87,   55.25
20/04/2013 08:10:00,   56.40,   59.53,   51.01,   59.51,   61.40,   54.40
20/04/2013 08:15:00,   54.82,   57.85,   50.74,   57.92,   61.82,   53.86
20/04/2013 08:20:00,   56.05,   59.70,   50.89,   59.83,   63.75,   54.22
20/04/2013 08:25:00,   55.18,   59.02,   49.65,   57.98,   62.10,   52.66
20/04/2013 08:30:00,   55.89,   60.22,   50.25,   58.85,   62.67,   53.79
20/04/2013 08:35:00,   55.92,   59.82,   48.76,   59.68,   63.84,   52.66
20/04/2013 08:40:00,   56.48,   60.42,   50.82,   59.13,   62.48,   53.74
20/04/2013 08:45:00,   54.90,   59.28,   46.95,   58.35,   62.29,   50.68
20/04/2013 08:50:00,   56.45,   59.82,   48.08,   59.11,   62.34,   53.26
20/04/2013 08:55:00,   56.06,   59.57,   48.51,   59.29,   63.01,   51.41
20/04/2013 09:00:00,   56.91,   60.44,   50.27,   59.80,   63.08,   54.56
20/04/2013 09:05:00,   56.55,   59.67,   51.00,   58.46,   61.68,   53.42
20/04/2013 09:10:00,   55.35,   59.38,   48.56,   59.43,   63.98,   52.72
