# noise_analysis run from DCC-NOISE-001003 at Sun Apr 21 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
21/04/2013 00:05:00,   54.25,   58.59,   47.96,   58.07,   62.68,   51.02
21/04/2013 00:10:00,   54.24,   58.35,   47.26,   56.80,   60.14,   51.14
21/04/2013 00:15:00,   53.02,   57.21,   47.05,   56.28,   60.11,   51.07
21/04/2013 00:20:00,   52.87,   57.41,   46.39,   56.25,   60.71,   49.46
21/04/2013 00:25:00,   54.10,   58.94,   47.84,   57.83,   61.25,   52.03
21/04/2013 00:30:00,   53.75,   58.81,   46.81,   56.17,   60.87,   50.18
21/04/2013 00:35:00,   55.29,   59.60,   48.69,   57.85,   61.30,   51.30
21/04/2013 00:40:00,   52.74,   58.14,   46.11,   56.04,   60.20,   49.42
21/04/2013 00:45:00,   56.06,   61.12,   48.42,   58.87,   63.22,   51.08
21/04/2013 00:50:00,   56.37,   60.95,   48.63,   59.48,   63.51,   52.68
21/04/2013 00:55:00,   55.90,   60.67,   49.16,   59.12,   63.26,   51.93
21/04/2013 01:00:00,   55.17,   59.34,   46.24,   57.85,   61.42,   49.11
21/04/2013 01:05:00,   54.97,   58.56,   47.21,   58.07,   61.78,   51.12
21/04/2013 01:10:00,   55.08,   60.15,   48.27,   57.76,   61.80,   51.02
21/04/2013 01:15:00,   54.16,   58.71,   47.45,   56.32,   60.62,   50.61
21/04/2013 01:20:00,   54.47,   58.53,   48.25,   56.81,   60.74,   51.01
21/04/2013 01:25:00,   53.56,   58.54,   45.09,   56.65,   60.84,   48.96
21/04/2013 01:30:00,   55.05,   59.19,   45.69,   57.02,   61.11,   49.56
21/04/2013 01:35:00,   54.27,   58.66,   47.19,   58.32,   63.26,   50.77
21/04/2013 01:40:00,   54.68,   59.02,   47.99,   57.26,   61.04,   51.02
21/04/2013 01:45:00,   54.01,   58.41,   48.18,   58.70,   62.22,   51.88
21/04/2013 01:50:00,   56.24,   60.94,   48.92,   59.11,   62.62,   53.55
21/04/2013 01:55:00,   55.48,   60.31,   45.78,   57.86,   62.06,   50.94
21/04/2013 02:00:00,   53.84,   58.61,   46.58,   56.80,   60.96,   50.38
21/04/2013 02:05:00,   54.34,   59.65,   46.29,   58.59,   63.34,   50.26
21/04/2013 02:10:00,   52.74,   57.38,   44.88,   55.83,   60.11,   48.80
21/04/2013 02:15:00,   52.81,   57.96,   45.04,   57.12,   61.18,   48.86
21/04/2013 02:20:00,   53.37,   58.46,   45.62,   57.62,   61.91,   49.73
21/04/2013 02:25:00,   54.56,   59.76,   45.83,   58.56,   63.00,   50.08
21/04/2013 02:30:00,   51.93,   56.38,   45.17,   55.65,   59.05,   49.23
21/04/2013 02:35:00,   53.05,   59.26,   44.80,   56.12,   61.71,   48.02
21/04/2013 02:40:00,   52.75,   58.44,   44.23,   55.60,   60.59,   47.89
21/04/2013 02:45:00,   53.89,   58.24,   45.90,   57.95,   61.98,   49.32
21/04/2013 02:50:00,   55.45,   60.44,   48.45,   57.75,   62.06,   51.47
21/04/2013 02:55:00,   54.06,   58.55,   46.43,   58.18,   62.50,   50.72
21/04/2013 03:00:00,   55.46,   59.51,   47.33,   58.37,   62.21,   50.66
21/04/2013 03:05:00,   54.34,   58.95,   46.13,   57.67,   62.76,   49.32
21/04/2013 03:10:00,   53.47,   59.46,   43.42,   58.35,   62.73,   48.44
21/04/2013 03:15:00,   54.02,   58.68,   44.95,   58.92,   63.74,   49.38
21/04/2013 03:20:00,   52.89,   59.03,   44.63,   56.89,   62.28,   49.09
21/04/2013 03:25:00,   53.29,   58.60,   45.67,   59.34,   63.40,   50.02
21/04/2013 03:30:00,   54.98,   59.68,   48.15,   57.96,   62.14,   51.61
21/04/2013 03:35:00,   53.76,   59.23,   46.02,   59.39,   64.96,   49.16
21/04/2013 03:40:00,   52.26,   57.69,   44.14,   55.94,   60.42,   47.71
21/04/2013 03:45:00,   50.85,   56.40,   44.81,   54.98,   60.43,   48.34
21/04/2013 03:50:00,   51.69,   57.43,   46.24,   56.85,   61.57,   50.05
21/04/2013 03:55:00,   51.68,   58.09,   44.00,   58.14,   63.28,   48.67
21/04/2013 04:00:00,   51.62,   57.06,   42.77,   57.61,   62.55,   46.96
21/04/2013 04:05:00,   53.74,   58.12,   45.97,   59.17,   63.65,   50.45
21/04/2013 04:10:00,   51.76,   57.81,   43.37,   56.49,   61.69,   46.76
21/04/2013 04:15:00,   52.79,   58.23,   45.48,   56.81,   61.13,   49.01
21/04/2013 04:20:00,   53.54,   59.97,   44.33,   59.02,   63.91,   49.77
21/04/2013 04:25:00,   54.43,   59.44,   47.46,   59.55,   63.38,   52.19
