# noise_analysis run from DCC-NOISE-001003 at Wed Apr 24 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
24/04/2013 00:05:00,   50.10,   53.97,   43.56,   55.68,   60.66,   48.51
24/04/2013 00:10:00,   51.71,   57.48,   44.32,   55.26,   60.03,   49.04
24/04/2013 00:15:00,   51.81,   57.42,   43.84,   54.94,   59.86,   48.76
24/04/2013 00:20:00,   51.92,   57.32,   45.16,   55.91,   60.33,   49.49
24/04/2013 00:25:00,   53.03,   58.52,   45.08,   55.84,   60.40,   49.93
24/04/2013 00:30:00,   50.86,   56.48,   43.69,   54.58,   59.28,   48.64
24/04/2013 00:35:00,   49.05,   55.37,   42.66,   52.98,   58.08,   47.85
24/04/2013 00:40:00,   52.49,   57.37,   45.20,   55.88,   59.71,   49.78
24/04/2013 00:45:00,   49.60,   55.37,   44.07,   52.97,   58.47,   48.60
24/04/2013 00:50:00,   49.14,   54.46,   43.55,   52.54,   57.09,   47.93
24/04/2013 00:55:00,   50.07,   55.32,   43.18,   53.44,   57.78,   48.67
24/04/2013 01:00:00,   50.41,   56.02,   41.83,   53.96,   59.11,   46.93
24/04/2013 01:05:00,   46.55,   51.97,   42.24,   50.88,   55.02,   47.04
24/04/2013 01:10:00,   49.05,   54.76,   42.93,   52.05,   56.81,   47.56
24/04/2013 01:15:00,   49.67,   55.53,   42.58,   52.76,   57.76,   47.35
24/04/2013 01:20:00,   45.00,   49.48,   40.11,   49.61,   53.16,   45.83
24/04/2013 01:25:00,   46.89,   50.94,   42.19,   52.55,   57.97,   47.56
24/04/2013 01:30:00,   48.86,   55.32,   41.83,   51.91,   56.87,   46.62
24/04/2013 01:35:00,   46.91,   52.07,   39.77,   50.16,   55.16,   45.47
24/04/2013 01:40:00,   49.89,   55.63,   43.77,   52.86,   57.62,   47.94
24/04/2013 01:45:00,   46.09,   50.24,   41.58,   50.91,   54.62,   47.20
24/04/2013 01:50:00,   48.41,   53.66,   42.81,   51.73,   56.67,   47.26
24/04/2013 01:55:00,   48.50,   54.07,   42.86,   51.81,   56.66,   47.36
24/04/2013 02:00:00,   49.33,   53.92,   43.80,   53.61,   58.86,   48.23
