# noise_analysis run from DCC-NOISE-001003 at Mon Apr 29 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
29/04/2013 00:05:00,   55.15,   59.22,   49.80,   58.26,   61.69,   53.41
29/04/2013 00:10:00,   55.43,   59.52,   49.94,   58.74,   62.44,   53.30
29/04/2013 00:15:00,   54.95,   59.96,   48.46,   58.36,   62.81,   52.27
29/04/2013 00:20:00,   56.30,   60.34,   47.75,   60.03,   64.45,   52.81
29/04/2013 00:25:00,   54.88,   59.13,   48.82,   59.47,   63.67,   52.93
29/04/2013 00:30:00,   55.91,   60.24,   50.54,   60.10,   63.62,   53.79
29/04/2013 00:35:00,   54.31,   58.60,   48.32,   58.80,   62.75,   52.01
29/04/2013 00:40:00,   54.88,   59.65,   49.12,   58.99,   63.44,   52.75
29/04/2013 00:45:00,   55.29,   60.01,   48.68,   58.53,   62.57,   52.17
29/04/2013 00:50:00,   55.33,   59.50,   49.79,   59.86,   63.92,   53.69
29/04/2013 00:55:00,   54.79,   59.28,   48.33,   57.51,   61.29,   52.38
29/04/2013 01:00:00,   55.70,   59.97,   48.09,   58.35,   62.41,   51.89
29/04/2013 01:05:00,   53.42,   59.21,   46.57,   58.03,   62.72,   50.43
29/04/2013 01:10:00,   54.00,   58.15,   48.48,   58.36,   62.22,   51.56
29/04/2013 01:15:00,   52.66,   57.45,   47.06,   56.60,   60.54,   50.98
29/04/2013 01:20:00,   54.23,   59.04,   47.59,   58.92,   62.47,   52.22
29/04/2013 01:25:00,   53.62,   57.61,   47.77,   58.29,   62.42,   51.98
29/04/2013 01:30:00,   54.32,   59.82,   47.27,   58.96,   64.17,   50.85
29/04/2013 01:35:00,   53.98,   59.14,   47.12,   58.48,   62.86,   51.14
29/04/2013 01:40:00,   52.66,   58.53,   45.58,   58.02,   61.80,   50.79
